wine_name,sweetness,country_name,vintage_count,ratings_count
Poggio Al Vento Brunello di Montalcino Riserva,1.6124237,Italie,1,4542
Barolo Monvigliero,1.7668234,Italie,2,2758
Bordeaux,1.774154,France,1,2246
Coteau de Vernon Condrieu,2.1876152,France,1,2015
Giallo d'Arles Greco di Tufo,1.6963667,Italie,1,3274
Brut Rosé Champagne,,France,1,23241
Vigna Molsino,1.6302043,Italie,1,2269
Chassagne-Montrachet Premier Cru Morgeot Marquis de Laguiche ,1.7449552,France,2,1640
Brunello di Montalcino Riserva,1.6650461,Italie,3,801
Amarone Senza Titolo,3.1109524,Italie,1,225
Harlan Estate Red,1.9023863,États-Unis,1,7231
Cresasso Corvina Veronese,2.041686,Italie,1,2333
N.P.U. Extra Brut Champagne (Nec Plus Ultra),,France,1,1482
L'Amarone del Maestro Fornaser,3.6708946,Italie,1,1031
Clio,2.015409,Espagne,1,24553
Camí Pesseroles,1.8081999,Espagne,1,1083
Gold Series Syrah,2.1947496,États-Unis,1,477
Amancio,2.1217496,Espagne,1,2076
Douro,1.6386396,Portugal,1,6214
Les Beaux Monts Vosne-Romanée 1er Cru,1.5677487,France,2,787
V Red,1.5824143,Afrique du Sud,1,1715
Domus Aurea Cabernet Sauvignon,1.8381319,Chili,1,9603
Lindaflor Blend,2.6323788,Argentine,1,3550
Vosne-Romanée 'Les Quartiers de Nuits',1.5785497,France,1,511
Pignan Châteauneuf-du-Pape Réserve Rouge,1.9042784,France,1,1881
Vosne-Romanée Premier Cru Les Petits Monts,2.1769478,France,1,105
Gran Enemigo,1.9202298,Argentine,1,18739
Vieilles Vignes Châteauneuf-du-Pape Blanc,1.9862945,France,1,2587
Ca’ del Merlo Rosso Veneto,2.1695538,Italie,2,2198
Grand Siècle Champagne (Grande Cuvée),,France,1,9824
Richebourg Grand Cru,2.031315,France,2,1296
Campogiovanni Brunello di Montalcino Riserva Il Quercione,1.8187361,Italie,1,1107
Brunello di Montalcino Riserva Madonna del Piano,1.6784105,Italie,3,3506
Clos de Bèze Grand Cru,2.1195972,France,1,635
Brunello di Montalcino,1.5622965,Italie,1,828
Bramare Malbec Uco Valley,2.2074132,Argentine,1,19752
Pian delle Vigne Vignaferrovia Brunello di Montalcino Riserva,1.6489447,Italie,3,2165
Reserva Ribera del Duero,1.7908615,Espagne,1,11233
Douro Pintas Tinto,1.7243667,Portugal,2,4167
'Giulio Ferrari' Riserva del Fondatore,,Italie,10,12592
Vosne-Romanée Premier Cru 'Les Suchots',2.0950086,France,1,601
Silex,1.5705318,France,2,8386
Cuvée Extase Blanc de Blancs Champagne Grand Cru,,France,1,231
Brunello di Montalcino Riserva,1.5380671,Italie,1,333
Mai The First A.Montes Malbec,2.127563,Argentine,1,6379
Vénus Blanc de Blancs Brut Nature Champagne Grand Cru 'Avize',,France,1,794
Domaine des Tourettes Hermitage Rouge,1.6275648,France,1,3806
Clos de Vougeot Grand Cru,1.600036,France,1,467
Bolgheri Superiore Sondraia,1.715733,Italie,1,12843
Amaya Arzuaga (Colección),1.7655505,Espagne,1,1179
Chambolle-Musigny Premier Cru 'Les Feusselottes',1.6478531,France,2,262
Montrachet Grand Cru Marquis de Laguiche,1.9866148,France,4,1970
Barolo Monprivato,1.59358,Italie,7,6966
Reserve Pinotage,1.8395258,Afrique du Sud,1,1891
Chassagne-Montrachet 1er Cru 'Morgeot',1.859133,France,2,329
La Landonne Côte-Rôtie,1.8482229,France,3,584
Corton-Charlemagne Grand Cru,1.7583795,France,1,719
Nuits-Saint-Georges,2.2210526,France,2,257
Rapture Cabernet Sauvignon,1.6946869,États-Unis,1,2117
Sauternes,4.9893174,France,1,938
Pieve Santa Restituta Sugarille Brunello di Montalcino,1.729886,Italie,1,3717
Amour de Deutz Millésimé Brut Champagne,,France,2,5532
Chassagne-Montrachet 1er Cru 'Morgeot',2.1006103,France,1,283
Millecento Brunello di Montalcino Riserva,1.6345867,Italie,2,1364
Brunello di Montalcino Riserva,1.6260442,Italie,1,339
Pur Sang,1.5382415,France,2,3634
Echezeaux Grand Cru,2.1185365,France,1,338
Lodovico,1.919053,Italie,7,3860
Dalmau Rioja,1.7996016,Espagne,1,7868
Campo del Drago Brunello di Montalcino,1.5219067,Italie,1,2854
Amarone della Valpolicella,3.293355,Italie,1,1712
Riserva vecchie viti dei Capalot e delle Brunate Barolo,2.061606,Italie,1,338
La Mattonara Amarone della Valpolicella Classico Riserva,3.3520465,Italie,1,1196
Palazzi Rosso Toscana,2.0513432,Italie,2,961
Lilium Est Amarone Della Valpolicella Riserva,3.4556482,Italie,1,733
Nuits-Saint-Georges 1er Cru 'Clos des Corvées',1.9449067,France,2,1245
Rosé Brut Champagne Grand Cru 'Ambonnay',,France,1,1782
Alabaster,1.9812388,Espagne,2,2708
Gardarèm,1.9927602,France,1,1308
Roda I Reserva Rioja,1.7863555,Espagne,2,22749
La Grande Dame Brut Rosé Champagne,,France,2,1118
Red,1.7820876,États-Unis,3,3639
Ozanne Blanc de Blancs Brut Champagne Grand Cru 'Avize',,France,1,484
Clos Vougeot Grand Cru,1.5743816,France,3,226
Gevrey Chambertin 1er Cru 'Aux Combottes',1.7836701,France,1,1002
Vittorio Moretti,,Italie,1,2025
Tenuta Guado al Tasso Matarocchio,1.822357,Italie,2,1875
Douro Quinta da Manoella VV Tinto,1.6909068,Portugal,3,2548
Vosne-Romanée 1er Cru 'Les Suchots',1.7735106,France,1,651
Blueline Estate Cabernet Sauvignon,1.8100928,États-Unis,1,1321
Montrachet Grand Cru,1.9855789,France,1,459
Primitivo di Manduria,2.9288273,Italie,1,2011
Blanc des Millénaires,,France,1,5581
Brut Rosé Champagne,,France,1,830
Harlequin,2.439991,Italie,2,1276
Échézeaux Grand Cru,2.3618987,France,1,359
Book 17 XVII,1.6803064,Afrique du Sud,2,814
Châteauneuf-du-Pape Amiral G,1.8483871,France,1,536
Brunello di Montalcino Riserva,1.6230472,Italie,3,1589
Sancerre 'Clos la Néore',1.566774,France,3,699
Ares,2.2395217,Australie,1,1995
Riesling 'Le Gallais' Wiltinger Braune Kupp Auslese,2.813712,Allemagne,2,242
Lupi Rezerva,,Moldavie,2,7604
Bâtard-Montrachet Grand Cru,1.9060409,France,4,347
Côte-Rôtie La Turque,1.7111404,France,4,4891
Meursault 1er Cru 'Les Genevrières',1.5436713,France,1,606
Piovesole Amarone della Valpolicella Classico,3.077631,Italie,1,868
Nettare Veneto Bianco,2.9499998,Italie,3,87
Cava Celler Batlle,,Espagne,1,1575
Sous L'Escalier Petite Arvine du Valais,2.6048386,Suisse,1,164
Chambolle-Musigny Les Cabottes,1.453535,France,1,413
Tokaji Aszú 5 Puttonyos,4.8961773,Hongrie,1,649
Chambolle-Musigny 1er Cru 'Les Amoureuses',1.613077,France,3,59
Charmes-Chambertin Grand Cru Les Mazoyères,2.1888883,France,1,548
Clos Vougeot Grand Cru,1.8215898,France,2,1202
Moncerbal Bierzo (Corullón),1.6890587,Espagne,1,1090
Meursault 1er Cru 'Charmes',2.0078254,France,1,242
Puligny-Montrachet Premier Cru Clos du Cailleret,1.6569368,France,1,395
Vieux Marc de Bandol,,France,1,102
Vin Santo di Montepulciano Occhio di Pernice,4.950209,Italie,4,1867
Grace Vineyard Pinot Noir,1.5923975,États-Unis,1,385
Barolo Bussia Vigna Munie,1.2171682,Italie,1,141
B Bordicon Blend,1.6767772,Afrique du Sud,1,1088
Corton-Charlemagne Grand Cru,1.8717645,France,2,164
Montrachet Grand Cru,2.0719697,France,1,269
VIK,1.9214224,Chili,2,8493
Poggio Alle Nane Maremma Toscana,1.9079237,Italie,2,3509
Schlehdorn Riesling Trocken,1.8329831,Allemagne,1,202
Bâtard-Montrachet Grand Cru,1.6880866,France,3,214
Aszú 6 puttonyos,4.911953,Hongrie,1,2450
Brunello di Montalcino,1.5962596,Italie,17,27452
Maria Adelaide Barbaresco,1.2309568,Italie,1,501
Gran Buig Priorat,1.3689655,Espagne,1,125
123 Brunello di Montalcino Riserva,1.4223372,Italie,1,525
Faith,1.484391,Afrique du Sud,1,1048
Ice Wine de Purcari,,Moldavie,1,722
Amarone della Valpolicella,3.1891263,Italie,1,4014
Sed de Caná,1.9559445,Espagne,2,345
Preta Cuvée David Booth Grande Reserva,2.1380146,Portugal,1,1507
Sassella Nuova Regina Riserva,1.4810333,Italie,1,987
Bâtard-Montrachet Grand Cru,1.9112995,France,2,1191
Nuits-Saint-Georges 1er Cru 'Aux Thorey',1.7095836,France,1,543
Saint-Émilion Grand Cru (Premier Grand Cru Classé),1.7565886,France,1,10699
Pessac-Léognan (Grand Cru Classé de Graves),1.7193894,France,7,15975
Les Riceys Cuvée Cyriès Brut Millesimé Champagne,,France,1,43
Cuvée Kermesse Rosso,2.133003,Italie,1,1153
Chevalier-Montrachet Grand Cru Blanc,1.9129902,France,1,1283
Chambertin Grand Cru,1.3646986,France,1,354
Cabernet Sauvignon,1.7583516,États-Unis,1,2941
Le Montrachet Grand Cru,2.1412282,France,1,30
Brunello di Montalcino Riserva Pian di Conte,1.8333937,Italie,1,1118
Colore Toscana,1.4208332,Italie,1,1415
Pedrouzos Godello,,Espagne,1,109
Cerretta Barolo Riserva (Vigna Bricco),1.6062539,Italie,3,2065
Magma,2.0306382,Italie,1,748
Kevin Arnold Shiraz,1.6196365,Afrique du Sud,1,6987
La Faraona Bierzo (Corullón),1.746712,Espagne,2,423
Reserva Particular de Recaredo Gran Reserva Brut Nature,,Espagne,2,923
Scharzhofberger Riesling Auslese,2.7846162,Allemagne,2,1666
Vigneto Bellavista Chianti Classico,1.9134988,Italie,5,1402
Barrosu Cannonau di Sardegna Riserva Franzisca,1.5870914,Italie,1,794
Son Negre,1.7594486,Espagne,1,521
Guglielmi di Jago Amarone della Valpolicella Classico,3.2615898,Italie,2,408
Merlot,1.6291896,États-Unis,6,1922
Grand Vin Pauillac (Premier Grand Cru Classé),1.6716481,France,10,38521
Es Riserva,2.6120222,Italie,1,371
Il Ritrovo,1.4055465,Italie,1,363
Il Pino di Biserno,1.9612641,Italie,2,17566
Howell Mountain Cabernet Sauvignon,1.6268119,États-Unis,1,6466
Brunello di Montalcino Riserva,1.7681414,Italie,1,437
Il San Lorenzo Bianco,2.3064723,Italie,1,673
Riserva Nova Domus Terlaner,2.3061333,Italie,1,5250
Pauillac (Premier Grand Cru Classé),1.714406,France,10,73615
Chassagne-Montrachet,1.5938239,France,1,3269
Chevalier-Montrachet Grand Cru Les Demoiselles,1.9245895,France,1,532
Linticlarus Lagrein Riserva,2.2673337,Italie,1,1387
Sir Winston Churchill Brut Champagne,,France,1,12873
Chambertin-Clos-de-Beze Grand Cru,2.1277838,France,2,611
El Carretil,2.0361114,Espagne,2,748
d'Alceo,2.0091226,Italie,3,3133
Cuvée Risleus Brut Champagne Premier Cru,,France,1,415
Chardonnay,2.0630836,Australie,1,201
Nosotros Single Vineyard Nómade,2.1509123,Argentine,1,9995
Chapelle-Chambertin Grand Cru,1.9184722,France,2,188
Mazis-Chambertin Grand Cru,1.9580156,France,2,433
Tokaji Aszú 6 Puttonyos,4.8951044,Hongrie,1,439
Bonnes Mares Grand Cru,2.0230403,France,1,554
Vieilles Vignes Mazis-Chambertin Grand Cru,1.6131272,France,2,218
Kurni Marche,2.7642388,Italie,1,10261
Corton-Charlemagne Grand Cru,1.9315071,France,1,1045
Blanc,2.0515757,France,1,2053
Corton-Charlemagne Grand Cru,1.7261328,France,3,1007
Valdegatiles Ribera del Duero,1.7257144,Espagne,1,587
Platinum,2.3343668,Suisse,1,883
5 Puttonyos Aszú (Blue Label),4.9550066,Hongrie,1,11106
Arborina Barolo,1.7115326,Italie,2,2527
Chafandin,1.7626926,Espagne,1,2570
Kupra Marche,2.0423427,Italie,1,637
Esporão Private Selection Tinto,1.8021736,Portugal,1,12566
Reserve,,États-Unis,3,1175
Gabbro Toscana,1.9114742,Italie,2,921
Boal Madeira,4.7262273,Portugal,1,1023
Charmes-Chambertin Grand Cru,1.7125001,France,1,276
Bienvenues-Bâtard-Montrachet Grand Cru,1.5461063,France,4,480
Bâtard-Montrachet Grand Cru,1.809467,France,1,1182
Il 'Divasco' Riserva,1.6379265,Italie,3,255
Meursault 1er Cru 'Genevrières' Blanc,1.8986025,France,1,311
Clos de la Roche Grand Cru,1.7518054,France,2,429
Corton-Bressandes Grand Cru,1.5309752,France,2,861
Brunello di Montalcino Riserva,1.7867404,Italie,1,330
Puligny-Montrachet Premier Cru Les Combettes,1.7941012,France,1,582
Pingus,1.8904002,Espagne,5,6013
Corton-Charlemagne Grand Cru,1.4072659,France,1,178
Evenstad Reserve Pinot Noir,1.5186764,États-Unis,1,11531
The Mackenzie,1.6333085,Afrique du Sud,1,1220
Musigny Grand Cru,1.4583396,France,2,171
Clos de Vougeot,1.7483782,France,2,608
Opus One,1.6506873,États-Unis,6,77053
40 Anos Tawny Port,3.96795,Portugal,1,57
Tokaji Aszú 5 Puttonyos,4.9386196,Hongrie,3,5449
Les Sentiers Chambolle-Musigny 1er Cru,1.7910546,France,1,1253
Macán Clásico,1.81529,Espagne,1,16525
Amarone della Valpolicella Riserva,3.1706653,Italie,1,958
Amarone della Valpolicella Vigna Garzon,3.1879733,Italie,1,4227
Mendoza,1.7433643,Argentine,2,19849
Domaine Grand Veneur Châteauneuf-Du-Pape Vieilles Vignes,1.4802154,France,1,875
Corton-Charlemagne Grand Cru,1.9106728,France,2,708
Ribolla Gialla,2.115333,Italie,1,7018
Charmes-Chambertin Grand Cru,2.327213,France,2,170
Vin de Constance (Natural Sweet),4.960214,Afrique du Sud,1,13210
50 & 50,1.7858204,Italie,3,9157
Pinotage,1.852157,Afrique du Sud,2,2063
Les Clos Chablís Grand Cru,1.609475,France,1,1750
Cream Tradición Vos 20 Years,3.813026,Espagne,1,623
La Poza de Ballesteros,1.780659,Espagne,1,987
Amarone Della Valpolicella Marta Galli,3.2036428,Italie,1,1085
Campo Alla Sughera,1.9313414,Italie,2,888
Montefico Barbaresco Vecchie Viti,1.5138121,Italie,1,581
Macán,1.7831703,Espagne,1,14368
Brunello di Montalcino Riserva Pianrosso Santa Caterina d'Oro,1.6299964,Italie,2,1971
Morey-Saint-Denis Tres Girard,2.1216843,France,1,339
Vürsù Barbaresco Gallina,1.5651741,Italie,3,4262
Champagne,,France,1,1021
Barón de Chirel Rioja Reserva,1.7648796,Espagne,1,8578
Recioto della Valpolicella Classico Riserva,,Italie,1,27
Vieilles Vignes Meursault,1.5745195,France,1,1426
Red,,Chili,1,1297
Novicium Estate,1.466593,États-Unis,1,495
Barolo Bussia Cicala,1.6672688,Italie,2,3346
30 Year Old Tawny Port,4.385495,Portugal,1,602
Valdegines,1.734133,Espagne,1,2594
One Sixteen Chardonnay,2.538148,États-Unis,1,1753
Asili Barbaresco Vecchie Viti,1.5085576,Italie,1,668
Gaudium,1.7301172,Espagne,1,7414
Hommage à Jacques Perrin Châteauneuf-du-Pape,1.7615204,France,7,6121
Rujno Rosso,2.1393104,Italie,3,532
Volnay 1er Cru Les Caillerets,1.3621588,France,1,591
Le Lucére Brunello di Montalcino Riserva,1.3794554,Italie,2,213
Brut Rosé Champagne,,France,1,13747
Mazis-Chambertin Grand Cru Cuvée Madeleine Collignon,2.1826844,France,1,1016
Rubicon,1.6132872,États-Unis,2,6421
Mark Bradford Vineyard Pinot Noir,1.4045134,États-Unis,1,254
Barolo Brunate,1.8730763,Italie,1,1482
V.P Extra Brut Champagne Grand Cru 'Ambonnay',,France,1,2079
Vigna Colonnello Barolo Riserva Bussia,1.4191498,Italie,2,957
Chablis Grand Cru 'Les Clos',1.5889286,France,1,173
Barolo Riserva Leon,1.5542421,Italie,1,948
Historical XIXth Century Wine,,France,2,807
Duemani Cabernet Franc,1.8703746,Italie,1,2339
Kapnios Aglianico,2.5232413,Italie,1,1134
Brut Champagne (Gold),,France,1,3874
Memorias,,Chili,1,15980
Barolo Riserva Speciale Granbussia,1.7685611,Italie,4,56
Aszú 6 Puttonyos Tokaj,5.0,Hongrie,1,54
Aile d'Argent Blanc Bordeaux,2.2246108,France,1,4790
Mazis-Chambertin Grand Cru,1.7251658,France,2,1121
Lupi e Sirene Riserva,1.6768823,Italie,1,1292
Amarone Classico Monte Danieli,3.148534,Italie,1,504
Fusion V,1.6550363,Afrique du Sud,1,12877
Grands-Échezeaux Grand Cru,1.8359898,France,1,544
Don PX Selección,3.9694393,Espagne,2,326
Amarone della Valpolicella Classico Mater,3.1624103,Italie,1,739
Musigny Grand Cru,2.1066804,France,1,128
Don PX Convento Selección,4.059529,Espagne,4,1224
Saint-Émilion Grand Cru,1.7499928,France,4,589
Gaia & Rey Langhe,2.4886413,Italie,1,5909
Le Montrachet Grand Cru,1.4717065,France,2,236
Aszú Eszencia,4.9666667,Hongrie,1,283
Ginés Liébana Pedro Ximénez,4.04,Espagne,2,120
Pieve Santa Restituta Rennina Brunello di Montalcino,1.7531106,Italie,1,3393
Toscana,1.9779595,Italie,24,16284
Fanòi Primitivo,2.8254397,Italie,1,695
Grande Cuvée I Terlaner,2.3357043,Italie,1,411
MV Rosé,,France,1,588
Predappio Massera,1.8276721,Italie,4,161
Palo Cortado Añada,3.1847057,Espagne,1,27
VT Vendemmia Tardiva,,Italie,1,1096
Ermitage l'Ermite Blanc,2.3228636,France,2,296
Mossone,1.8143501,Italie,1,892
Palo Cortado Tradición Vors 30 Years Sherry,2.4819863,Espagne,1,1050
Gorgona,2.184011,Italie,1,592
Cuvée Ernest Riesling Alsace Sélection de Grains Nobles,4.2166667,France,1,68
Chateauneuf-Du-Pape Cuvée Des Générations Marie Leoncie,1.6599679,France,1,1041
CASK 23 Cabernet Sauvignon,1.6187876,États-Unis,1,9464
Amarone della Valpolicella,3.2980664,Italie,1,1292
Negru de Purcari Limited Edition,,Moldavie,1,970
Cuve 38 Blanc de Blancs Champagne (La Réserve Perpétuelle),,France,1,149
Ferro,1.801046,Italie,1,499
Les Boudots Nuits-Saint-Georges 1er Cru,1.8146675,France,1,339
Vignes Centenaires 'La Richemone',1.6225348,France,1,182
Pietro Dal Cero Amarone della Valpolicella,3.1801608,Italie,3,6424
Le Petit Mouton de Mouton Rothschild Pauillac,1.6595325,France,1,8214
Vin de Paille,,France,2,35
Brunello di Montalcino,1.5295734,Italie,2,1365
Pour Vous Sancerre,1.6999139,France,1,125
Red,1.8333554,Chili,1,4933
Cabernet Sauvignon,1.4456885,États-Unis,1,152
Ulysses,1.6299195,États-Unis,1,1980
Octavius Amarone della Valpolicella Riserva,3.1875901,Italie,1,450
Amour de Deutz Millesimé Rosé Brut Champagne,,France,1,536
Mazzano Amarone Della Valpolicella Classico,3.1861618,Italie,2,3276
Au Paradis Cabernet Sauvignon,1.6613371,États-Unis,1,3004
Castellberg Pinot Noir,1.4879236,Allemagne,2,187
Ciliegio Amarone della Valpolicella,3.3313334,Italie,1,76
P2 Plénitude Brut Champagne,,France,2,7543
Cěrǎsum Riserva Amarone della Valpolicella,3.1995063,Italie,1,460
Barolo Cerretta,1.7573152,Italie,2,684
Pomerol,1.6095084,France,2,4641
Vosne-Romanée 1er Cru Aux Malconsorts Christiane,1.4869983,France,1,309
Aegusa,,Italie,2,81
888 Pinotage Gold,1.5840741,Afrique du Sud,1,234
Scharzhofberger Riesling Eiswein,,Allemagne,1,30
Παλιές Ρίζες (Palies Rizes),1.5109091,Grèce,1,313
Roccolo Ludwig Barth von Barthenau,1.7900001,Italie,2,155
Barolo Cannubi,1.5111234,Italie,1,1801
Graal Amarone della Valpolicella Valpantena,2.4526687,Italie,1,328
Mas Via Gran Reserva Brut,,Espagne,1,408
The Black Lion,1.549335,Afrique du Sud,2,476
Semel Pater,1.7583334,Italie,1,710
Cuvée des Enchanteleurs Brut Champagne,,France,2,1732
6 Anime Puglia Rosso,2.8930955,Italie,1,2476
Tourmaline Pomerol,1.3463196,France,1,237
Saperavi,,Moldavie,2,4745
Fort Ross Seaview Home Field Pinot Noir,1.7102238,États-Unis,1,483
La Vina de Corteo,2.3388197,Espagne,1,374
Dogs of the Barossa Shiraz,2.0760252,Australie,1,264
Brunello di Montalcino Riserva,1.4949095,Italie,1,461
Royal St Robert Cuvée Pinot Noir,1.6376019,États-Unis,1,2099
Vigna Grande Cerzito Taurasi Riserva,2.2985344,Italie,2,581
Rutherford Cabernet Sauvignon,1.652254,États-Unis,1,655
Les Blanchiens Brut Nature Champagne Premier Cru,,France,1,590
Habemus Lazio Rosso (Etichetta Rossa),2.119575,Italie,1,298
Nebukadnesar,1.4831064,Afrique du Sud,1,3609
Pandorga,,Espagne,2,148
Vin de Pays de l'Hérault Blanc,1.9149225,France,2,1209
Pajè Barbaresco,1.5763191,Italie,2,1910
Chemin du Bois Champagne,,France,1,184
Brunello di Montalcino Riserva,1.827931,Italie,4,351
Helichrysum Brunello di Montalcino,1.6001965,Italie,1,1370
Gran VU Blend,1.7093651,Argentine,1,2773
Cosimo Varvaglione Collezione Privata Primitivo di Manduria,3.1291568,Italie,1,5016
A50 Amarone della Valpolicella,2.8771605,Italie,1,100
Toscana Bianco,2.2274275,Italie,1,833
Bruno Lunelli Riserva,,Italie,1,96
Croce Del Gal Riserva Amarone della Valpolicella Classico,2.9229722,Italie,1,188
Altura Máxima Malbec,2.0597696,Argentine,1,2168
Pessac-Léognan Blanc (Grand Cru Classé de Graves),2.1406865,France,1,1182
Altagracia Cabernet Sauvignon,1.7512516,États-Unis,1,3083
Annonciade Champagne,,France,1,137
Fieramonte Amarone della Valpolicella Riserva,3.054878,Italie,2,315
Alpine Hillside Pinot Noir,1.1815671,États-Unis,1,46
Barolo Riserva,1.5470767,Italie,1,265
Fino La Barajuela,,Espagne,1,222
Grand Vin,1.4750085,Espagne,1,343
Cosimo Varvaglione Collezione Privata Negroamaro del Salento,2.4783223,Italie,1,826
Barolo Riserva Cannubi 1752,1.6763704,Italie,1,451
Museum Collection White,,Grèce,1,297
Colheita Porto,4.8262177,Portugal,1,741
Brunello di Montalcino,1.6416774,Italie,1,2592
Puligny-Montrachet Premier Cru ' Clos de la Truffière',1.7297885,France,1,475
Lion Tamer Napa Valley Red Blend,1.7046466,États-Unis,1,4981
Cannubi Barolo,1.1442633,Italie,1,228
Per Sempre Syrah Toscana,1.7196623,Italie,3,711
Belles Soeurs Cuvée Pinot Noir,1.401519,États-Unis,1,229
Les Ouvrées Rodin Chambertin-Clos de Bèze Grand Cru,1.7468355,France,3,33
Adrianna Vineyard Fortuna Terrae Malbec,2.1823618,Argentine,1,2589
Adrianna Vineyard Mundus Bacillus Terrae Malbec,2.189404,Argentine,3,1358
Barbaresco Asili,1.4280901,Italie,3,710
Grands-Echezeaux Grand Cru,1.2915536,France,1,432
Trebbiano d'Abruzzo,2.4094381,Italie,1,140
The Journeyman,1.9845128,Afrique du Sud,1,231
Le Petit Cheval Bordeaux Blanc,2.0212228,France,1,782
Bassolino di Sopra Brunello di Montalcino,1.6474727,Italie,2,174
Regina del Bosco R.Quarantottomesi,1.6725,Italie,1,109
40 Years Old Port,4.7342553,Portugal,1,37
Cinque Autoctoni Collection Limited Release,2.0237908,Italie,1,4281
Valmezzane Amarone della Valpolicella,3.2709465,Italie,2,799
Quarto Vecchio Amarone della Valpolicella Classico Riserva,3.2986417,Italie,1,292
Pym-Rae Red Blend,1.462028,États-Unis,2,273
Amarone della Valpolicella,3.1003544,Italie,2,749
Zeltinger Sonnenuhr Beerenauselese Riesling,2.9495196,Allemagne,1,49
Bure Alto Amarone  della Valpolicella Classico Riserva,3.52959,Italie,2,132
Clos Saint-Denis Grand Cru,1.6666666,France,2,40
Il Bacca Old Vine Primitivo di Manduria,3.0354161,Italie,1,2933
Kalós Cru Gran Reserva Malbec,2.4885175,Argentine,1,3351
La Piu Belle,,Chili,1,13420
Charmes-Chambertin Grand Cru,1.15,France,5,33
Quiñon de Valmira,1.4984263,Espagne,1,377
Chambertin Grand Cru,1.4611549,France,1,188
Marmar,1.9693925,Allemagne,2,514
TD9,1.6725471,États-Unis,1,6056
Mironia Black Edition Tempranillo,1.7522718,Espagne,1,187
40 Years Old Tawny Port,4.3973284,Portugal,1,357
Rioja Reserva 10 Años Después Edición Limitada,1.5956244,Espagne,1,1093
Mágico,2.0852482,Espagne,1,146
Peña Lobera,1.5666758,Espagne,1,234
Reserve Chardonnay,2.2871244,Afrique du Sud,1,396
Carmin,1.8026053,France,1,931
Colheita Porto Branco,4.4869823,Portugal,1,65
Falletto Barbaresco Rabaja,1.6003922,Italie,1,448
Arché,2.2005763,Portugal,1,429
Touran,2.1461916,Espagne,1,274
Collection Vintage 2000 Brut,,France,1,58
Secentenario,1.6186764,Italie,1,96
Puligny-Montrachet 1er Cru 'Les Champs Gains',1.1076646,France,1,429
Dona Ermelinda Grande Reserva,2.167271,Portugal,1,933
Cuvée des Hussards Vieilles Vignes Brut Champagne Premier Cru,,France,1,47
Eight Years In The Desert,2.4408796,États-Unis,1,27195
Librante Primitivo di Manduria,2.8891466,Italie,1,491
Winemaker's Selection,2.2873857,Croatie,1,292
LR,2.5153446,Italie,2,503
Zeltinger Sonnenuhr Beerenauslese,3.4264705,Allemagne,1,44
Limited Edition 10 Vendemmie,2.054572,Italie,1,9453
Champ Cain Extra Brut Champagne Grand Cru 'Avize',,France,2,234
Charlemagne Grand Cru,1.3711667,France,1,201
Graacher Himmelreich Riesling Auslese 'Goldkapsel',3.0887501,Allemagne,1,119
Les Ruchons Sancerre Blanc,1.4099487,France,1,269
VV 26 Blanc de Blancs Vieilles Vignes Grand Cru Brut,,France,1,314
El Escolladero,1.5979935,Espagne,1,161
110 e Lode Merlot,2.1146274,Italie,1,174
Guerriero della Terra,2.8497944,Italie,2,10185
80 Vecchie Vigne Primitivo di Manduria Old Vines,3.1267023,Italie,1,2476
Rioja Blanco Reserva,1.8718536,Espagne,3,361
Fratini Bolgheri Superiore,1.3946093,Italie,1,153
Bual Madeira,4.8087187,Portugal,1,187
Cuvée N Viñas Viejas,1.9349145,Espagne,1,263
Lux Vitis,2.1000907,Italie,1,530
Collina Rionda di Serralunga Barolo,1.3892766,Italie,2,156
Vigne Vecchie Gold Series Leggenda Primitivo di Manduria,3.0665753,Italie,1,3121
De Buris Amarone della Valpolicella Classico Riserva,3.203101,Italie,2,574
'Giulio Ferrari' Riserva del Fondatore Rosé,,Italie,1,308
Ampio,1.6122587,Italie,1,481
Permassimo,1.2900506,Italie,1,186
Denarius Graves,1.6846269,France,2,129
Raut Lagrein,1.6899999,Italie,1,58
Corton-Charlemagne Grand Cru,1.5203093,France,2,35
Hyde Vineyard Chardonnay,2.219666,États-Unis,1,265
Bienvenues-Bâtard-Montrachet Grand Cru,1.2454681,France,2,76
Delicado Cosecha Pedro Ximénez,4.565912,Espagne,1,870
Estate Reserve Viognier,2.6232803,Afrique du Sud,1,257
Carpathia Heritage,2.3222482,Roumanie,1,166
Gorgona Rosso,1.2839758,Italie,4,119
50 Old Vines Vecchie Vigne Negroamaro,2.8037245,Italie,1,510
Maggiarino Vino Nobile di Montepulciano,1.4602276,Italie,1,555
Interpretación,1.827968,Espagne,1,2760
Vinha Centenaria Branco,1.7899325,Portugal,1,281
Grande Cuvée,,France,1,28513
Hérédita Châteauneuf-du-Pape,2.0720003,France,1,185
Perpiero,1.6207002,Italie,1,351
Guerriero del Mare,2.754702,Italie,1,3290
Rocche dell'Annunziata Barolo,1.34193,Italie,2,218
Cristal Vinothèque,,France,2,426
Cristal Rosé Vinothèque,,France,1,88
Minami,1.9322877,Espagne,1,246
Clos de Tart Grand Cru,1.969902,France,1,214
Vinhas Velhas Tinto,2.0587099,Portugal,1,736
Cabochon Doppio Zero,,Italie,1,217
Annunziata Barolo Riserva,1.2837288,Italie,1,138
NŌ Rosso,2.8602026,Italie,1,297
Freienfeld Cabernet Sauvignon Riserva,1.9226389,Italie,1,173
