wine_name,sweetness,country_name,vintage_count,ratings_count
Chardonnay,2.0542128,Afrique du Sud,3,1031
La Grande Année Brut Champagne,,France,2,24646
Big'd Big Barolo,1.6542184,Italie,1,1148
Vigna Cappella di S. Stefano Perno Barolo,1.5660388,Italie,2,2514
Amarone della Valpolicella,3.1827621,Italie,1,4689
Giramonte Toscana,2.2484422,Italie,1,1678
Costasera Amarone della Valpolicella Classico,3.2297275,Italie,2,93397
Campolongo di Torbe Amarone della Valpolicella Classico,3.2979991,Italie,3,4392
Brunello di Montalcino Riserva Vigna Paganelli,1.6121194,Italie,2,7123
Bolgheri Superiore,1.788846,Italie,26,47939
Le Serre Nuove,1.6401124,Italie,1,50411
Barolo Ginestra Casa Maté,1.7545748,Italie,1,4116
Il Bricco Barbaresco,1.5898534,Italie,1,2299
Ornato Barolo,1.5658007,Italie,2,5469
Saint-Julien (Grand Cru Classé),1.6682789,France,1,37174
Flaccianello della Pieve,1.7224033,Italie,5,21518
25 anni Montefalco Sagrantino,1.5398124,Italie,1,5419
Cuvée Annamaria Clementi (Extra Brut),,Italie,3,7928
Brunello di Montalcino,1.4268141,Italie,1,8875
Brunello di Montalcino,1.6429697,Italie,1,6683
Brunello di Montalcino,1.5521299,Italie,1,7546
Brunello di Montalcino Riserva,1.7106686,Italie,1,1665
Barolo Cannubi Boschis,1.7761469,Italie,1,4298
Barolo Le Vigne,1.6677053,Italie,2,5026
Carruades de Lafite Pauillac,1.6171026,France,4,13866
Beaune 1er Cru 'Clos des Mouches' Blanc,1.8163502,France,2,3093
Chambertin Clos de Bèze Grand Cru,1.8174781,France,1,331
Grands-Echezeaux Grand Cru,1.8514493,France,1,700
Puligny-Montrachet,1.6064351,France,1,4548
Aconcagua Valley,1.9092625,Chili,5,18482
Conde de Superunda,,Chili,1,3237
5 Stelle Sfursat,1.927198,Italie,4,10740
The Armagh Shiraz,2.1185503,Australie,1,2472
Côte-Rôtie La Landonne,1.6999345,France,3,4068
Côte-Rôtie La Mouline,1.7132782,France,4,4380
Ermitage Ex-Voto,1.8386673,France,3,1804
Corton-Charlemagne Grand Cru,1.6939689,France,1,1913
Bramare Marchiori Vineyard Malbec,2.261276,Argentine,1,8713
Viña El Pison,1.7621776,Espagne,4,3027
Cabernet Sauvignon,2.3111012,Italie,1,2408
Saint-Julien (Grand Cru Classé),1.5905166,France,5,29317
Barbaresco,1.6031228,Italie,16,24516
Costa Russi (Barbaresco) Langhe,1.7797054,Italie,8,2876
Sorì Tildìn (Barbaresco) Langhe,1.6132797,Italie,9,3955
Sorì San Lorenzo,1.7701341,Italie,8,3857
Dagromis Barolo,1.5525979,Italie,1,20685
Conteisa Langhe,1.9082872,Italie,1,2295
Sperss Barolo,1.6009856,Italie,11,10950
Darmagi Langhe,2.065667,Italie,4,3184
Cabernet Sauvignon,1.9367127,États-Unis,1,157944
Special Selection Cabernet Sauvignon,1.9168729,États-Unis,2,41236
Cabernet - Cabernet,1.9815465,Argentine,2,27436
Barolo Monvigliero,1.4851469,Italie,1,1163
Blanc de Blancs Brut Champagne (Vintage),,France,1,6400
Cristal Brut Champagne (Millésimé),,France,7,42456
Cristal Rosé Brut Champagne (Millésimé),,France,2,5883
Cos d'Estournel,1.6652306,France,6,43704
Baron de L Pouilly-Fumé,1.5027466,France,1,9002
Amarone della Valpolicella Classico,3.3598473,Italie,3,6669
Nine Popes,1.9145173,Australie,1,2118
Barolo Bussia Romirasco,1.6730256,Italie,1,1544
Puligny-Montrachet Premier Cru La Garenne,2.539587,France,1,200
Puligny-Montrachet Premier Cru Champ-Canet,1.7687975,France,1,1020
Corte di Cama Sforzato di Valtellina,1.9697778,Italie,1,3211
Bric Dël Fiasc Barolo,1.6027927,Italie,2,4947
Redigaffi Toscana,1.99489,Italie,14,5212
Châteauneuf-du-Pape Chaupin,2.0042584,France,1,4483
Quinta da Leda Douro,1.8381321,Portugal,1,14197
Colheita Port,4.62602,Portugal,1,8039
Tordiz 40 Year Old Tawny Port,4.119861,Portugal,1,474
Belondrade y Lurton,2.3963392,Espagne,1,13567
Unico Reserva Especial Edición,1.8340577,Espagne,1,13025
Unico,1.7812482,Espagne,3,45140
Ribera del Duero,1.8380817,Espagne,1,69278
Toro,1.7763444,Espagne,2,60705
Tokaji Aszú 6 Puttonyos,4.8875446,Hongrie,1,2366
Eszencia,,Hongrie,1,488
Tokaji Aszú 3 Puttonyos,4.9209304,Hongrie,2,7080
Brunate  Barolo,1.7103062,Italie,2,1289
La Serra Barolo,1.8759549,Italie,1,1449
Rocche dell'Annunziata Torriglione Barolo,1.7370698,Italie,1,1222
