wines_name,countries_name,vintages_count,wines_ratings_count,wines_ratings_count,wines_acidity
La Joie,États-Unis,2,2285,4.6,3.8834448
La Grande Dame Brut Rosé Champagne,France,2,1118,4.6,4.4572988
La Faraona Bierzo (Corullón),Espagne,2,423,4.6,3.6081464
L'Hermitage,France,1,8592,4.6,3.5292687
L'Extravagant de Doisy-Daëne Sauternes,France,4,465,4.6,4.4039354
L'Amarone del Maestro Fornaser,Italie,1,1031,4.6,2.0171123
Kurni Marche,Italie,1,10261,4.6,3.0215945
Insignia,États-Unis,4,30674,4.6,3.8176463
Grande Cuvée Luigi Moio,Italie,3,80,4.6,2.8484375
Grande Cuvée,France,1,28513,4.6,4.360128
Grand Vin Pauillac (Premier Grand Cru Classé),France,10,38521,4.6,4.134296
Gran Buig Priorat,Espagne,1,125,4.6,3.7094045
Graacher Himmelreich Riesling Auslese 'Goldkapsel',Allemagne,1,119,4.6,4.6801662
Glesie Climat,Italie,2,37,4.6,3.3639169
Ginés Liébana Pedro Ximénez,Espagne,2,120,4.6,2.6156108
Finca Garbet,Espagne,1,573,4.6,3.0190568
Falletto Barolo Le Rocche del Falletto Riserva,Italie,7,622,4.6,4.675603
EABA,États-Unis,1,151,4.6,3.2767448
Dieci Brunello di Montalcino,Italie,1,43,4.6,3.931605
Côte-Rôtie La Turque,France,4,4891,4.6,3.877427
Côte-Rôtie La Mouline,France,4,4380,4.6,3.8720932
Côte-Rôtie La Landonne,France,3,4068,4.6,3.8996758
Cuve 38 Blanc de Blancs Champagne (La Réserve Perpétuelle),France,1,149,4.6,4.669732
Croce Del Gal Riserva Amarone della Valpolicella Classico,Italie,1,188,4.6,2.4575524
Cristal Rosé Brut Champagne (Millésimé),France,2,5883,4.6,4.497997
Cristal Brut Champagne (Millésimé),France,7,42456,4.6,4.416872
Costa Russi (Barbaresco) Langhe,Italie,8,2876,4.6,4.6500616
Continuum Estate,États-Unis,4,6949,4.6,3.8341439
Contador Rioja,Espagne,3,2240,4.6,3.5871537
Collection Vintage 2000 Brut,France,1,58,4.6,4.3014283
Colheita Porto Branco,Portugal,1,65,4.6,3.349586
Clos de Tart Grand Cru,France,1,214,4.6,4.0906606
Clos Saint-Denis Grand Cru,France,2,40,4.6,4.3766665
Clos Apalta,Chili,2,23256,4.6,3.067916
Cirsion Rioja,Espagne,2,3474,4.6,3.711729
Château Margaux (Premier Grand Cru Classé),France,14,45350,4.6,4.170338
Chevalier-Montrachet Grand Cru,France,1,2340,4.6,3.2542887
Chateauneuf-du-Pape Réserve des Célestins,France,2,1633,4.6,3.1329765
Campo del Titari Amarone della Valpolicella Classico Riserva,Italie,1,2946,4.6,2.2957995
Campo Inferi Amarone della Valpolicella Classico Riserva,Italie,3,2112,4.6,2.2221038
Calcarole Amarone della Valpolicella Classico,Italie,1,2757,4.6,2.199505
Cabernet Sauvignon Coeur De Vallée,États-Unis,1,544,4.6,3.6127534
Cabernet Sauvignon (Signature),États-Unis,1,13730,4.6,3.4052458
CASK 23 Cabernet Sauvignon,États-Unis,1,9464,4.6,3.3622434
Bâtard-Montrachet Grand Cru,France,10,1191,4.6,3.1919923
Bure Alto Amarone  della Valpolicella Classico Riserva,Italie,2,132,4.6,2.2535899
Brut Champagne,France,5,146377,4.6,4.3640895
Brunello di Montalcino Riserva,Italie,44,3375,4.6,3.830859
Bolgheri Superiore,Italie,29,47939,4.6,3.4603708
Blanc des Millénaires,France,1,5581,4.6,4.454617
Beckstoffer To Kalon Vineyard Cabernet Sauvignon,États-Unis,1,1557,4.6,3.356546
Bassolino di Sopra Brunello di Montalcino,Italie,2,174,4.6,3.8497093
Barolo Riserva Villero,Italie,1,803,4.6,4.699738
Barolo Riserva Monprivato Cà d'Morissio,Italie,4,588,4.6,4.6706405
Barolo Cerretta,Italie,3,684,4.6,4.3525333
Barolo Arione,Italie,4,259,4.6,4.0684004
Au Paradis Cabernet Sauvignon,États-Unis,1,3004,4.6,3.2921212
Aszú 6 Puttonyos Tokaj,Hongrie,1,54,4.6,5.0
