wines_name,countries_name,vintages_count,wines_ratings_count,wines_ratings_count,wines_acidity
Vigna Colonnello Barolo Riserva Bussia,Italie,2,957,4.4,4.46639
Vigna Cappella di S. Stefano Perno Barolo,Italie,2,2514,4.4,4.5566106
Vieilles Vignes La Parcelle 8 Apalta,Chili,1,184,4.4,3.02956
Vieilles Vignes Châteauneuf-du-Pape Blanc,France,1,2587,4.4,3.109061
Valmezzane Amarone della Valpolicella,Italie,2,799,4.4,2.420255
Valdegatiles Ribera del Duero,Espagne,1,587,4.4,3.8034573
VT Vendemmia Tardiva,Italie,1,1096,4.4,
V.P Extra Brut Champagne Grand Cru 'Ambonnay',France,1,2079,4.4,4.4975915
V Red,Afrique du Sud,1,1715,4.4,3.8528886
Turriga Isola dei Nuraghi,Italie,1,14641,4.4,2.4508407
Triglia Negroamaro Rosato,Italie,1,278,4.4,3.2711766
Treinta y Dos Pinot Noir,Argentine,1,3417,4.4,3.2335303
Trebbiano d'Abruzzo,Italie,2,5834,4.4,3.9287908
Toscana I Sodi di San Niccolo,Italie,2,8853,4.4,3.2615259
Torre Muga,Espagne,1,8767,4.4,3.7799828
Toro,Espagne,2,60705,4.4,2.6952467
Toknar,Chili,1,2033,4.4,
Todeschini Distique Saint-Émilion Grand Cru,France,2,185,4.4,3.4609382
Tinto,Espagne,8,2511,4.4,3.418546
The Mackenzie,Afrique du Sud,1,1220,4.4,3.872975
Tessons Clos de Mon Plaisir Meursault,France,1,761,4.4,3.2486935
Tenuta Montebello Picconero,Italie,1,2011,4.4,3.0374305
St. Henri Shiraz,Australie,2,17326,4.4,3.0152445
Sous L'Escalier Petite Arvine du Valais,Suisse,1,164,4.4,4.512903
Siepi,Italie,5,8129,4.4,3.156144
Series M,Afrique du Sud,4,2995,4.4,3.6752222
Semel Pater,Italie,1,710,4.4,3.131975
Schlehdorn Riesling Trocken,Allemagne,1,202,4.4,4.1531935
Scharzhofberger Riesling Spätlese,Allemagne,2,1564,4.4,4.656243
Scharzhofberger Riesling Kabinett,Allemagne,2,3047,4.4,4.710466
Sauternes (Premier Grand Cru Classé),France,4,19239,4.4,4.339853
Saperavi,Moldavie,2,4745,4.4,
Sancerre 'Clos la Néore',France,3,699,4.4,4.02023
Saint-Émilion Grand Cru (Grand Cru Classé),France,1,3498,4.4,3.3835192
Saint-Emilion Grand Cru (Premier Grand Cru Classé),France,2,1986,4.4,3.3021338
Saffredi,Italie,2,10499,4.4,3.1319983
Réservé Châteauneuf-du-Pape,France,1,297,4.4,3.1068087
Réserve Côtes-du-Rhône,France,1,4027,4.4,3.3780417
Rosé Brut Champagne Grand Cru 'Ambonnay',France,1,1782,4.4,4.317616
Romanée-Saint-Vivant Grand Cru Les Quatre Journaux,France,1,731,4.4,4.1714225
Roda I Reserva Rioja,Espagne,2,22749,4.4,3.708868
Roccolo Ludwig Barth von Barthenau,Italie,2,155,4.4,3.336474
Rioja Reserva 10 Años Después Edición Limitada,Espagne,1,1093,4.4,3.736463
Rioja Reserva,Espagne,1,13544,4.4,3.6719735
Rioja Blanco Reserva,Espagne,3,361,4.4,3.2929113
Ribera del Duero Prestigio,Espagne,1,2994,4.4,3.6664393
Reserve Pinotage,Afrique du Sud,1,1891,4.4,3.03456
Reserva Particular de Recaredo Gran Reserva Brut Nature,Espagne,2,923,4.4,3.393993
RWT Bin 798 Shiraz,Australie,1,1975,4.4,3.0733402
Quinta da Leda Douro,Portugal,1,14197,4.4,3.009171
Quincha Corral,Espagne,1,1230,4.4,3.2945478
Quarz Sauvignon,Italie,4,8884,4.4,3.3279023
Puligny-Montrachet Premier Cru Les Combettes,France,1,582,4.4,3.1358716
Puligny-Montrachet Premier Cru Champ-Canet,France,1,1020,4.4,3.310976
Puligny-Montrachet Premier Cru ' Clos de la Truffière',France,1,475,4.4,3.340396
Puligny-Montrachet 1er Cru 'Les Champs Gains',France,1,429,4.4,3.266688
Puligny-Montrachet 1er Cru 'La Garenne',France,1,442,4.4,3.2488666
Predappio Massera,Italie,4,161,4.4,2.3762434
Pomerol,France,47,7221,4.4,3.4038813
Poggio Alle Nane Maremma Toscana,Italie,2,3509,4.4,3.011608
Poggio Al Vento Brunello di Montalcino Riserva,Italie,1,4542,4.4,3.7502875
Pinotage,Afrique du Sud,2,2063,4.4,3.0094533
Pieve Santa Restituta Brunello di Montalcino,Italie,2,21867,4.4,3.8261576
Peña Lobera,Espagne,1,234,4.4,3.5274763
Petracs Furmint,Hongrie,1,200,4.4,4.0452156
Pessac-Léognan (Grand Cru Classé de Graves),France,12,27316,4.4,4.2193274
Pegrandi Amarone della Valpolicella Classico,Italie,1,1833,4.4,2.2755728
Pavillon Rouge du Château Margaux,France,1,16401,4.4,4.0852337
Pauillac (Grand Cru Classé),France,15,55808,4.4,4.1892757
Paralupi Appassimento,Italie,1,575,4.4,2.140114
Pandorga,Espagne,2,148,4.4,
Palo Cortado Tradición Vors 30 Years Sherry,Espagne,1,1050,4.4,3.5983322
Paleo Rosso,Italie,2,10940,4.4,3.181494
Palazzi Rosso Toscana,Italie,2,961,4.4,3.1346312
Os Paulistas Chão dos Eremitas Vinhas Velhas,Portugal,1,334,4.4,2.949739
Ornato Barolo,Italie,2,5469,4.4,4.6555104
One Sixteen Chardonnay,États-Unis,1,1753,4.4,3.3329105
Old Vines Primitivo di Manduria,Italie,1,20904,4.4,1.824051
Nuits-Saint-Georges 1er Cru 'Clos des Corvées',France,2,1245,4.4,4.1876044
Nuits-Saint-Georges 1er Cru 'Aux Thorey',France,1,543,4.4,4.1987147
Nuits-Saint-Georges,France,2,257,4.4,4.156226
Novicium Estate,États-Unis,1,495,4.4,3.8662605
Nicolás Catena Zapata,Argentine,1,28227,4.4,3.0623786
Nebukadnesar,Afrique du Sud,1,3609,4.4,3.7397916
Nebro Ribera del Duero,Espagne,1,647,4.4,3.786551
Musigny Grand Cru,France,4,171,4.4,4.4048176
Museum Collection White,Grèce,1,297,4.4,
Mossone,Italie,1,892,4.4,3.1251633
Morey-Saint-Denis Tres Girard,France,1,339,4.4,4.06517
Montelìg,Chili,2,2905,4.4,3.1128125
Montefico Barbaresco Vecchie Viti,Italie,1,581,4.4,4.649112
Minami,Espagne,1,246,4.4,3.27634
Meursault 1er Cru 'Perrières',France,1,342,4.4,3.0303018
Merlot,États-Unis,6,1922,4.4,2.5498877
Mendoza,Argentine,2,19849,4.4,3.7735553
Mazis-Chambertin Grand Cru Cuvée Madeleine Collignon,France,1,1016,4.4,3.9900656
Mazis-Chambertin Grand Cru,France,4,433,4.4,4.170031
Malbec Argentino,Argentine,1,47435,4.4,2.6859064
Mai The First A.Montes Malbec,Argentine,1,6379,4.4,2.8237689
Macán,Espagne,1,14368,4.4,3.6024113
Lupicaia,Italie,5,4414,4.4,3.1440911
Luminaria Primitivo di Manduria,Italie,1,563,4.4,1.8724487
Luce,Italie,3,17470,4.4,3.1256583
Lot 1,États-Unis,1,226,4.4,3.8397396
Los Jabalíes Single Vineyard Malbec,Argentine,1,284,4.4,2.9868217
Librante Primitivo di Manduria,Italie,1,491,4.4,2.0291247
Les Sentiers Chambolle-Musigny 1er Cru,France,1,1253,4.4,4.025858
Les Ruchons Sancerre Blanc,France,1,269,4.4,4.0176926
Les Noisetiers,États-Unis,1,7035,4.4,3.2327442
Les Manyes,Espagne,1,924,4.4,3.5719585
Les Grandes Places Côte-Rôtie,France,2,1316,4.4,3.8559096
Les Boudots Nuits-Saint-Georges 1er Cru,France,1,339,4.4,4.0359554
Les Blanchiens Brut Nature Champagne Premier Cru,France,1,590,4.4,4.163317
Les Bessards Hermitage,France,1,1515,4.4,3.4622538
Les Beaux Monts Vosne-Romanée 1er Cru,France,2,787,4.4,4.114098
Le Petit Mouton de Mouton Rothschild Pauillac,France,1,8214,4.4,4.1714125
Le Petit Cheval Bordeaux Blanc,France,1,782,4.4,2.9790158
Le Lucére Brunello di Montalcino Riserva,Italie,2,213,4.4,3.807475
Lagrein Riserva Porphyr,Italie,3,5123,4.4,2.5272794
La Serra Barolo,Italie,1,1449,4.4,4.578067
La Poza de Ballesteros,Espagne,1,987,4.4,3.3650222
La Grande Rue Grand Cru Monopole,France,3,1496,4.4,4.36568
L'Apparita,Italie,10,3836,4.4,3.1353738
Kalkofen G.C,Allemagne,3,188,4.4,4.07101
Kairos,Italie,5,7364,4.4,2.4236004
Ipsus Chianti Classico Gran Selezione,Italie,1,185,4.4,3.9390612
Interpretación,Espagne,1,2760,4.4,3.5556211
Il Ritrovo,Italie,1,363,4.4,3.0390668
Il Bacca Old Vine Primitivo di Manduria,Italie,1,2933,4.4,1.8308221
Il 'Divasco' Riserva,Italie,3,255,4.4,3.8098495
Hyde Vineyard Chardonnay,États-Unis,1,265,4.4,2.8356404
Hohenmorgen G.C,Allemagne,3,378,4.4,4.530173
Historical XIXth Century Wine,France,2,807,4.4,
Helichrysum Brunello di Montalcino,Italie,1,1370,4.4,3.8121681
Harimann Montepulciano d'Abruzzo,Italie,2,1086,4.4,3.9217417
Guglielmi di Jago Amarone della Valpolicella Classico,Italie,2,408,4.4,2.3768718
Guerriero della Terra,Italie,2,10185,4.4,2.8807938
Guerriero del Mare,Italie,1,3290,4.4,3.6361923
Graticciaia,Italie,1,2451,4.4,2.3604577
Grands-Échézeaux Grande Cuvée Vieilles Vignes,France,1,449,4.4,3.914567
Grands-Échezeaux Grand Cru,France,1,544,4.4,4.2671757
Grands-Echezeaux Grand Cru,France,2,700,4.4,3.8922136
Grand Vin,Espagne,1,343,4.4,3.3251436
Gran Corte (VII),Argentine,1,15016,4.4,3.0944748
Graal Amarone della Valpolicella Valpantena,Italie,1,328,4.4,2.7646627
Gorgona,Italie,1,592,4.4,3.869
Gold Series Syrah,États-Unis,1,477,4.4,3.1688762
Giunonico Riserva Primitivo di Manduria,Italie,1,460,4.4,2.4705703
Giramonte Toscana,Italie,1,1678,4.4,3.096134
Giorgio Bartholomäus,Italie,2,554,4.4,3.150352
Gevrey Chambertin 1er Cru 'Aux Combottes',France,1,1002,4.4,4.1931877
Georges De Latour Private Reserve Cabernet Sauvignon,États-Unis,2,12652,4.4,3.3221471
Gardarèm,France,1,1308,4.4,3.4020553
Gallina Barbaresco,Italie,3,1017,4.4,4.612218
Gabbro Toscana,Italie,2,921,4.4,3.079783
Fusion V,Afrique du Sud,1,12877,4.4,3.678904
Freienfeld Cabernet Sauvignon Riserva,Italie,1,173,4.4,2.88696
Fort Ross Seaview Home Field Pinot Noir,États-Unis,1,483,4.4,3.4607437
Fleur de Miraval Exclusivement Rosé Champagne,France,1,304,4.4,3.9864666
Fino La Barajuela,Espagne,1,222,4.4,
Fanòi Primitivo,Italie,1,695,4.4,1.7209091
Falletto Barolo,Italie,1,1760,4.4,4.714246
Falletto Barbaresco Rabaja,Italie,1,448,4.4,4.74757
Falletto Barbaresco Asili,Italie,1,3450,4.4,4.7242866
Evenstad Reserve Pinot Noir,États-Unis,1,11531,4.4,3.848453
Estate Reserve Viognier,Afrique du Sud,1,257,4.4,1.7106149
Ermitage Ex-Voto,France,3,1804,4.4,3.5583098
El Escolladero,Espagne,1,161,4.4,3.8649592
Eight Years In The Desert,États-Unis,1,27195,4.4,1.9226278
Duemani Cabernet Franc,Italie,1,2339,4.4,3.2126977
Douro,Portugal,1,6214,4.4,3.0951936
Dona Ermelinda Grande Reserva,Portugal,1,933,4.4,2.8185594
Domus Aurea Cabernet Sauvignon,Chili,1,9603,4.4,3.0334966
Dolç de L'Obac,Espagne,1,440,4.4,
Dogs of the Barossa Shiraz,Australie,1,264,4.4,3.048867
Delicado Cosecha Pedro Ximénez,Espagne,1,870,4.4,3.0970087
Dalmau Rioja,Espagne,1,7868,4.4,3.778889
Cěrǎsum Riserva Amarone della Valpolicella,Italie,1,460,4.4,2.254099
Côtes de Bourg,France,2,8249,4.4,3.748591
Côte-Rôtie,France,1,7177,4.4,3.9255815
Côte à Côte Estate,États-Unis,1,1133,4.4,3.6084716
Côte Rôtie La Brocarde,France,1,278,4.4,3.8583148
Cuvée des Cadettes Châteauneuf-du-Pape,France,1,3283,4.4,3.0606353
Cuvée Risleus Brut Champagne Premier Cru,France,1,415,4.4,4.3493085
Cream Tradición Vos 20 Years,Espagne,1,623,4.4,3.5464005
Cos d'Estournel,France,6,43704,4.4,4.2013316
Corton-Charlemagne Grand Cru Blanc,France,1,2453,4.4,3.2267067
Corton-Charlemagne Grand Cru,France,19,10296,4.4,3.3309574
Corton-Bressandes Grand Cru,France,2,861,4.4,3.7803164
Corton Grand Cru 'Clos Rognet',France,1,543,4.4,3.771881
Colore Toscana,Italie,1,1415,4.4,3.3819811
Colheita Porto,Portugal,1,741,4.4,3.048492
Clos des Lambrays Grand Cru,France,6,6431,4.4,4.186641
Clos de la Roche Grand Cru Cuvée Vieilles Vignes,France,7,2678,4.4,4.208333
Clos de la Roche Grand Cru,France,2,429,4.4,4.029349
Clos de Vougeot,France,2,608,4.4,4.0593004
Clos de L'Obac,Espagne,1,2588,4.4,3.516844
Clos Vougeot Grand Cru,France,5,1202,4.4,4.1880374
Clos Saint Denis Grand Cru,France,2,474,4.4,4.1495495
Cinque Autoctoni Collection Limited Release,Italie,1,4281,4.4,2.9294932
Châteauneuf-du-Pape Réservé Blanc,France,1,668,4.4,3.2144742
Châteauneuf-Du-Pape Cuvée Des Générations Gaston-Philippe,France,1,2077,4.4,3.1158712
Château de Cîteaux Meursault 1er Cru 'Charmes' Blanc,France,1,368,4.4,3.431202
Chevalier-Montrachet Grand Cru Les Demoiselles,France,1,532,4.4,3.3081732
Chevalier-Montrachet Grand Cru Blanc,France,1,1283,4.4,3.2550032
Chemin du Bois Champagne,France,1,184,4.4,4.5432525
Chateauneuf-Du-Pape Cuvée Des Générations Marie Leoncie,France,1,1041,4.4,3.090322
Chassagne-Montrachet Premier Cru 'Morgeot' Blanc,France,1,1701,4.4,3.190376
Chassagne-Montrachet 1er Cru 'Morgeot',France,3,283,4.4,3.1034641
Charmes-Chambertin Grand Cru Les Mazoyères,France,1,548,4.4,3.7261949
Charmes-Chambertin Grand Cru,France,16,709,4.4,4.2005577
Chardonnay,Afrique du Sud,5,1031,4.4,3.5614731
Chapelle d'Ausone Saint-Émilion Grand Cru,France,5,1086,4.4,3.4394982
Champ Cain Extra Brut Champagne Grand Cru 'Avize',France,2,234,4.4,4.2807527
Chambolle-Musigny Premier Cru Les Charmes,France,1,364,4.4,4.2270317
Chambolle-Musigny Premier Cru 'Les Feusselottes',France,2,262,4.4,3.87661
Chambolle-Musigny Les Cabottes,France,1,413,4.4,4.1607304
Chambertin Clos de Bèze Grand Cru,France,3,331,4.4,4.4324017
Chablis Grand Cru 'Les Clos',France,1,173,4.4,3.915051
Castello della Sala Cervaro della Sala,Italie,3,30203,4.4,3.8587165
Castellberg Pinot Noir,Allemagne,2,187,4.4,3.5972824
Carruades de Lafite Pauillac,France,4,13866,4.4,4.112083
Carpathia Heritage,Roumanie,1,166,4.4,3.1726356
Carmin,France,1,931,4.4,3.7490327
Campo del Drago Brunello di Montalcino,Italie,1,2854,4.4,3.9112031
Campo dei Gigli Amarone della Valpolicella,Italie,1,5050,4.4,2.252263
Campo León Amarone della Valpolicella,Italie,2,7778,4.4,2.328538
Campo Alla Sughera,Italie,2,888,4.4,3.096663
Calle Merlot Rosso Veronese,Italie,1,1053,4.4,2.3299327
Bual Madeira,Portugal,1,187,4.4,4.0222726
Brut Rosé Champagne,France,4,21147,4.4,4.180463
Brut Cuvée Champagne Rosé,France,1,36681,4.4,4.250294
Brut Champagne (Gold),France,1,3874,4.4,4.178781
Brunello di Montalcino  Montosoli,Italie,3,6176,4.4,3.9027393
Brunello di Montalcino,Italie,51,9171,4.4,3.8421304
Bramare Malbec Uco Valley,Argentine,1,19752,4.4,2.697112
Blanc de Blancs Brut Champagne Grand Cru,France,1,5553,4.4,4.291068
Big'd Big Barolo,Italie,1,1148,4.4,4.5567408
Beyond the Clouds,Italie,1,4760,4.4,3.2295082
Belondrade y Lurton,Espagne,1,13567,4.4,3.07816
Belles Soeurs Cuvée Pinot Noir,États-Unis,1,229,4.4,3.9554749
Beaune 1er Cru 'Clos des Mouches' Blanc,France,2,3093,4.4,3.1847384
Barón de Chirel Rioja Reserva,Espagne,1,8578,4.4,3.5531914
Barsac (Premier Grand Cru Classé),France,4,6028,4.4,4.358521
Barrosu Cannonau di Sardegna Riserva Franzisca,Italie,1,794,4.4,3.1168516
Baron de L Pouilly-Fumé,France,1,9002,4.4,3.850036
Barolo Rocche di Castiglione,Italie,1,1272,4.4,4.6330266
Barolo Rocche,Italie,5,1615,4.4,4.443262
Barolo Riserva Leon,Italie,1,948,4.4,4.65733
Barolo Monprivato,Italie,7,6966,4.4,4.551566
Barolo Ginestra Casa Maté,Italie,1,4116,4.4,4.50987
Barolo Enrico VI,Italie,3,3107,4.4,4.4703164
Barolo Cannubi Boschis,Italie,1,4298,4.4,4.490502
Barolo Bussia Vigna Munie,Italie,1,141,4.4,4.493274
Barolo Bussia Cicala,Italie,2,3346,4.4,4.518978
Barolo Bussia,Italie,2,4525,4.4,4.4169183
Barolo Bricco Rocche,Italie,5,2923,4.4,4.663758
Barolo Bricco Gattera,Italie,1,2365,4.4,4.5690866
Barbaresco Asili,Italie,3,710,4.4,4.664794
Avizoise Blanc de Blancs Extra Brut Champagne Grand Cru 'Avize',France,1,1278,4.4,4.6446457
Attunga 1865 Shiraz,Australie,1,371,4.4,2.999023
Asili Barbaresco Vecchie Viti,Italie,1,668,4.4,4.4989524
Ares,Australie,1,1995,4.4,3.0160916
Arché,Portugal,1,429,4.4,2.9899054
Arborina Barolo,Italie,2,2527,4.4,4.596376
Aphrodite,Australie,1,367,4.4,3.537
Annunziata Barolo Riserva,Italie,1,138,4.4,4.8139467
Amarone della Valpolicella Vigna Garzon,Italie,1,4227,4.4,2.3771174
Amarone della Valpolicella Riserva,Italie,1,958,4.4,2.49915
Amarone della Valpolicella Classico,Italie,18,18720,4.4,2.3302438
Amarone della Valpolicella,Italie,9,2680,4.4,2.2797103
Amarone Classico Monte Danieli,Italie,1,504,4.4,2.4180279
Altura Máxima Malbec,Argentine,1,2168,4.4,2.885381
Altero Brunello di Montalcino,Italie,3,4620,4.4,3.8212059
Altagracia Cabernet Sauvignon,États-Unis,1,3083,4.4,3.505831
Alexander Valley Cabernet Sauvignon,États-Unis,1,46066,4.4,2.9983644
Ai Suma Barbera d'Asti,Italie,1,3012,4.4,3.894353
ARTEMIS Cabernet Sauvignon,États-Unis,1,81351,4.4,3.383825
80 Vecchie Vigne Primitivo di Manduria Old Vines,Italie,1,2476,4.4,1.8199955
50 Old Vines Vecchie Vigne Negroamaro,Italie,1,510,4.4,2.4967277
50 & 50,Italie,3,9157,4.4,3.2017627
5 Puttonyos Aszú (Blue Label),Hongrie,1,11106,4.4,4.947574
40 Years Old Tawny Port,Portugal,1,357,4.4,3.147774
30 Year Old Tawny Port,Portugal,1,602,4.4,2.9178329
123 Brunello di Montalcino Riserva,Italie,1,525,4.4,3.8688908
110 e Lode Merlot,Italie,1,174,4.4,2.6912735
Winemaker's Selection,Croatie,1,292,4.3,4.436117
Vosne-Romanée Premier Cru Les Suchots,France,1,522,4.3,4.182564
Vosne-Romanée Premier Cru 'Les Suchots',France,1,601,4.3,4.029017
Vosne-Romanée 'Les Quartiers de Nuits',France,1,511,4.3,4.1826763
Vosne-Romanée,France,1,1030,4.3,4.0248237
Volnay 1er Cru Les Caillerets,France,1,591,4.3,3.960021
Vigne Vecchie Gold Series Leggenda Primitivo di Manduria,Italie,1,3121,4.3,1.9133979
Vigna Molsino,Italie,1,2269,4.3,4.6251874
Victorino,Espagne,1,9294,4.3,2.7780287
Vecchie Vigne Brunello di Montalcino,Italie,1,3868,4.3,3.9151838
Vacqueyras,France,1,3412,4.3,3.4521956
Ulysses,États-Unis,1,1980,4.3,3.755958
Toscana Il Pareto,Italie,1,3195,4.3,3.0065615
Toscana Camartina,Italie,1,3673,4.3,3.1647222
Toscana Batar,Italie,1,4187,4.3,3.8311777
Tokaji Aszú 3 Puttonyos,Hongrie,2,7080,4.3,4.8892546
TD9,États-Unis,1,6056,4.3,3.8259566
Serral del Vell Brut Nature,Espagne,1,2418,4.3,3.5424502
Scrio,Italie,2,2322,4.3,3.1090095
Sassella Nuova Regina Riserva,Italie,1,987,4.3,4.478054
San Vicente Rioja,Espagne,1,10701,4.3,3.698022
Saint-Julien (Grand Cru Classé),France,16,32627,4.3,4.1619315
Saint-Joseph,France,1,3931,4.3,3.5058928
Saint-Estèphe (Grand Cru Classé),France,4,35624,4.3,4.2593036
Rutherford Cabernet Sauvignon,États-Unis,1,655,4.3,3.3400948
Royal St Robert Cuvée Pinot Noir,États-Unis,1,2099,4.3,3.414597
Rocche di Castiglione Barolo,Italie,2,2397,4.3,4.501871
Riserva Nova Domus Terlaner,Italie,1,5250,4.3,3.2276218
Ribolla Gialla,Italie,1,7018,4.3,3.3096104
Ribera del Duero Reserva,Espagne,2,37394,4.3,3.6510444
Reserva Ribera del Duero,Espagne,1,11233,4.3,3.7252333
Rapture Cabernet Sauvignon,États-Unis,1,2117,4.3,2.968296
Pur Sang,France,2,3634,4.3,3.9940429
Puligny-Montrachet Premier Cru Clos du Cailleret,France,1,395,4.3,3.3434565
Puligny-Montrachet Enseignères,France,1,941,4.3,3.35
Puligny-Montrachet,France,1,4548,4.3,3.2249227
Preta Cuvée David Booth Grande Reserva,Portugal,1,1507,4.3,3.1055214
Pommard 1er Cru Les Rugiens-Bas,France,1,592,4.3,3.80164
Platinum,Suisse,1,883,4.3,3.2129703
Piovesole Amarone della Valpolicella Classico,Italie,1,868,4.3,2.7069697
Pietradonice,Italie,2,2266,4.3,3.1051316
Pian delle Vigne Brunello di Montalcino,Italie,2,31363,4.3,3.7869322
Perpetual,Espagne,1,3809,4.3,3.4795744
Percarlo,Italie,2,4808,4.3,3.213206
Pajè Barbaresco,Italie,2,1910,4.3,4.6281357
Oreno Toscana,Italie,1,12407,4.3,3.1260839
Nine Popes,Australie,1,2118,4.3,2.9806938
Mongovone Barbera d'Asti Superiore,Italie,1,2771,4.3,3.4402444
Moncerbal Bierzo (Corullón),Espagne,1,1090,4.3,3.9696674
Miserere,Espagne,1,1392,4.3,3.5874398
Mille E Una Notte,Italie,1,15865,4.3,2.466708
Meursault 1er Cru 'Les Genevrières',France,1,606,4.3,3.3009865
Meursault 1er Cru 'Charmes',France,1,242,4.3,3.2378836
Merlot (Signature),États-Unis,1,2312,4.3,1.8657606
Memorias,Chili,1,15980,4.3,
Maria Adelaide Barbaresco,Italie,1,501,4.3,4.516188
Malleolus,Espagne,1,34630,4.3,3.6814659
Maggiarino Vino Nobile di Montepulciano,Italie,1,555,4.3,3.783131
Macán Clásico,Espagne,1,16525,4.3,3.6308076
Lion Tamer Napa Valley Red Blend,États-Unis,1,4981,4.3,3.8570921
Lindaflor Blend,Argentine,1,3550,4.3,3.2285435
Le Serre Nuove,Italie,1,50411,4.3,3.4638002
La Cueva del Contador Rioja,Espagne,2,4013,4.3,3.7476807
Il Pino di Biserno,Italie,2,17566,4.3,3.0246398
Il Bricco Barbaresco,Italie,1,2299,4.3,4.6537747
Hermitage La Chapelle Rouge,France,1,15298,4.3,3.4834516
Gratallops Partida Bellvisos,Espagne,1,627,4.3,3.4345481
Gran Reserva Rioja (Finca Ygay),Espagne,1,9595,4.3,3.701244
Gran Malbec (X),Argentine,1,12579,4.3,2.6869044
Giallo d'Arles Greco di Tufo,Italie,1,3274,4.3,2.8980155
Gewürztraminer Lunare,Italie,1,2732,4.3,2.3839974
Gaudium,Espagne,1,7414,4.3,3.7049477
Galatrona,Italie,4,7971,4.3,3.112219
Félix Callejo (Viñedos de la Familia),Espagne,2,1341,4.3,3.7628725
Esporão Private Selection Tinto,Portugal,1,12566,4.3,2.9711084
Echezeaux Grand Cru,France,2,338,4.3,4.371414
Douro Quinta da Manoella VV Tinto,Portugal,3,2548,4.3,3.239602
Domaine des Tourettes Hermitage Rouge,France,1,3806,4.3,3.5418537
Domaine Grand Veneur Châteauneuf-Du-Pape Vieilles Vignes,France,1,875,4.3,3.08676
Dagromis Barolo,Italie,1,20685,4.3,4.5853696
Côtes du Rhône,France,1,8196,4.3,3.3747108
Cà Bertoldi Amarone della Valpolicella Classico,Italie,1,3708,4.3,2.2030034
Cuvée Impériale Châteauneuf-du-Pape,France,2,1881,4.3,3.1300437
Crescendo,Afrique du Sud,1,1347,4.3,3.6205332
Costasera Amarone della Valpolicella Classico,Italie,2,93397,4.3,2.2137997
Cosimo Varvaglione Collezione Privata Negroamaro del Salento,Italie,1,826,4.3,2.5906193
Corte di Cama Sforzato di Valtellina,Italie,1,3211,4.3,4.5061083
Clos de la Coulée de Serrant,France,1,8365,4.3,4.7550335
Clos de Vougeot Grand Cru,France,1,467,4.3,4.235216
Chateau Buena Vista Cabernet Sauvignon Napa Valley,États-Unis,1,13415,4.3,3.289551
Chassagne-Montrachet 1er Cru 'La Maltroie',France,1,779,4.3,3.3383968
Chassagne-Montrachet,France,1,3269,4.3,3.2823174
Chambolle-Musigny,France,1,3455,4.3,4.0891213
Cepparello Red,Italie,2,12191,4.3,3.1967108
Cava Celler Batlle,Espagne,1,1575,4.3,3.4646797
Castello della Sala Muffato della Sala,Italie,1,6356,4.3,
Capitel Monte Olmi Amarone della Valpolicella Classico Riserva,Italie,1,4229,4.3,2.4235454
Cabernet - Cabernet,Argentine,2,27436,4.3,3.1445348
Buisson Renard,France,1,2119,4.3,3.9708703
Brunello di Montalcino Riserva Vigna Paganelli,Italie,2,7123,4.3,3.8713474
Brunello di Montalcino Riserva Pian di Conte,Italie,1,1118,4.3,3.8143263
Bricco dell'Uccellone Barbera d'Asti,Italie,1,17625,4.3,3.8818424
Bric Dël Fiasc Barolo,Italie,2,4947,4.3,4.6329103
Bordeaux,France,1,2246,4.3,3.9396377
Blanc de Blancs Brut Champagne (Vintage),France,1,6400,4.3,4.472281
Blanc,France,1,2053,4.3,2.4751124
Barolo Sorì Ginestra,Italie,3,4827,4.3,4.607528
Barolo Riserva Vigna Rionda,Italie,2,3530,4.3,4.5637417
Barolo Riserva Bricco Boschis Vigna San Giuseppe,Italie,2,4030,4.3,4.575484
Barolo Riserva,Italie,2,12663,4.3,4.5947633
Barolo Prapò,Italie,1,2450,4.3,4.5526896
Barolo Paiagallo,Italie,1,1917,4.3,4.470939
Barolo Monvigliero,Italie,3,2758,4.3,4.5063763
Barolo Le Vigne,Italie,2,5026,4.3,4.557749
Barolo Ginestra Vigna del Gris,Italie,1,3333,4.3,4.6171455
Barolo Ciabot Mentin Ginestra,Italie,1,3525,4.3,4.607701
Barolo Cerequio,Italie,1,3839,4.3,4.5820665
Barolo Cannubi,Italie,2,1852,4.3,4.680343
Barolo Brunate,Italie,5,4295,4.3,4.572561
Barbera d'Alba Vigna Francia,Italie,2,7315,4.3,3.8663404
Barbaresco Rabajà,Italie,2,5469,4.3,4.594954
Barbaresco Gaiun Martinenga,Italie,1,2298,4.3,4.591956
B Bordicon Blend,Afrique du Sud,1,1088,4.3,3.685791
Annonciade Champagne,France,1,137,4.3,4.438599
Amaya Arzuaga (Colección),Espagne,1,1179,4.3,3.6540797
6 Anime Puglia Rosso,Italie,1,2476,4.3,2.135559
25 anni Montefalco Sagrantino,Italie,1,5419,4.3,3.1158633
Vieilles Vignes Meursault,France,1,1426,4.2,3.191122
Valdegines,Espagne,1,2594,4.2,3.473707
Solare Toscana,Italie,1,4961,4.2,3.1583757
Rioja 150 Aniversario,Espagne,1,4642,4.2,3.7774308
Primitivo di Manduria,Italie,1,2011,4.2,1.9416709
Pochi Filagn Barbera d'Alba,Italie,1,410,4.2,3.643069
Old Vines Malbec,Argentine,1,667,4.2,3.0245454
