name,ratings_average,vintage_count
Antinori Tignanello 2012,4.5,3
Opus One Overture,4.5,1
Laurent-Perrier Brut Cuvée Champagne Rosé,4.4,1
San Marzano 60 Sessantanni Old Vines Primitivo di Manduria 2017,4.5,1
Caymus Cabernet Sauvignon 2019,4.6,1
Dom Pérignon Brut Champagne 2004,4.6,2
Ruinart Brut Rosé Champagne,4.4,1
Billecart-Salmon Brut Rosé Champagne,4.4,1
Krug Grande Cuvée,4.6,1
