Wines,Country,Reviews,Rating
Brunello di Montalcino Riserva,Italie,339,4.4
Pur Sang,France,3634,4.3
Echezeaux Grand Cru,France,338,4.3
Lodovico,Italie,3860,4.6
Dalmau Rioja,Espagne,7868,4.4
Campo del Drago Brunello di Montalcino,Italie,2854,4.4
Amarone della Valpolicella,Italie,1712,4.3
Riserva vecchie viti dei Capalot e delle Brunate Barolo,Italie,338,4.5
La Mattonara Amarone della Valpolicella Classico Riserva,Italie,1196,4.7
Palazzi Rosso Toscana,Italie,961,4.4
Lilium Est Amarone Della Valpolicella Riserva,Italie,733,4.5
Nuits-Saint-Georges 1er Cru 'Clos des Corvées',France,1245,4.4
Rosé Brut Champagne Grand Cru 'Ambonnay',France,1782,4.4
Alabaster,Espagne,2708,4.6
Gardarèm,France,1308,4.4
Roda I Reserva Rioja,Espagne,22749,4.4
La Grande Dame Brut Rosé Champagne,France,1118,4.6
Red,États-Unis,3639,4.6
Ozanne Blanc de Blancs Brut Champagne Grand Cru 'Avize',France,484,4.5
Clos Vougeot Grand Cru,France,226,4.4
Gevrey Chambertin 1er Cru 'Aux Combottes',France,1002,4.4
Vittorio Moretti,Italie,2025,4.4
Tenuta Guado al Tasso Matarocchio,Italie,1875,4.6
Douro Quinta da Manoella VV Tinto,Portugal,2548,4.3
Vosne-Romanée 1er Cru 'Les Suchots',France,651,4.4
Blueline Estate Cabernet Sauvignon,États-Unis,1321,4.5
Montrachet Grand Cru,France,459,4.7
Primitivo di Manduria,Italie,2011,4.2
Blanc des Millénaires,France,5581,4.6
Brut Rosé Champagne,France,830,4.5
Harlequin,Italie,1276,4.7
Échézeaux Grand Cru,France,359,4.7
Book 17 XVII,Afrique du Sud,814,4.7
Châteauneuf-du-Pape Amiral G,France,536,4.5
Brunello di Montalcino Riserva,Italie,1589,4.6
Sancerre 'Clos la Néore',France,699,4.4
Ares,Australie,1995,4.4
Riesling 'Le Gallais' Wiltinger Braune Kupp Auslese,Allemagne,242,4.5
Lupi Rezerva,Moldavie,7604,4.5
Bâtard-Montrachet Grand Cru,France,347,4.4
Côte-Rôtie La Turque,France,4891,4.6
Meursault 1er Cru 'Les Genevrières',France,606,4.3
Piovesole Amarone della Valpolicella Classico,Italie,868,4.3
Nettare Veneto Bianco,Italie,87,4.6
Cava Celler Batlle,Espagne,1575,4.3
Sous L'Escalier Petite Arvine du Valais,Suisse,164,4.4
Chambolle-Musigny Les Cabottes,France,413,4.4
Tokaji Aszú 5 Puttonyos,Hongrie,649,4.3
Chambolle-Musigny 1er Cru 'Les Amoureuses',France,59,4.5
Charmes-Chambertin Grand Cru Les Mazoyères,France,548,4.4
Clos Vougeot Grand Cru,France,1202,4.4
Moncerbal Bierzo (Corullón),Espagne,1090,4.3
Meursault 1er Cru 'Charmes',France,242,4.3
Puligny-Montrachet Premier Cru Clos du Cailleret,France,395,4.3
Vieux Marc de Bandol,France,102,4.5
Vin Santo di Montepulciano Occhio di Pernice,Italie,1867,4.4
Grace Vineyard Pinot Noir,États-Unis,385,4.5
Barolo Bussia Vigna Munie,Italie,141,4.4
B Bordicon Blend,Afrique du Sud,1088,4.3
Corton-Charlemagne Grand Cru,France,164,4.4
Montrachet Grand Cru,France,269,4.6
VIK,Chili,8493,4.6
Poggio Alle Nane Maremma Toscana,Italie,3509,4.4
Schlehdorn Riesling Trocken,Allemagne,202,4.4
Bâtard-Montrachet Grand Cru,France,214,4.5
Aszú 6 puttonyos,Hongrie,2450,4.5
Brunello di Montalcino,Italie,27452,4.5
Maria Adelaide Barbaresco,Italie,501,4.3
Gran Buig Priorat,Espagne,125,4.6
123 Brunello di Montalcino Riserva,Italie,525,4.4
Faith,Afrique du Sud,1048,4.5
Ice Wine de Purcari,Moldavie,722,4.5
Amarone della Valpolicella,Italie,4014,4.3
Sed de Caná,Espagne,345,4.5
Preta Cuvée David Booth Grande Reserva,Portugal,1507,4.3
Sassella Nuova Regina Riserva,Italie,987,4.3
Bâtard-Montrachet Grand Cru,France,1191,4.6
Nuits-Saint-Georges 1er Cru 'Aux Thorey',France,543,4.4
Saint-Émilion Grand Cru (Premier Grand Cru Classé),France,10699,4.3
Pessac-Léognan (Grand Cru Classé de Graves),France,15975,4.5
Les Riceys Cuvée Cyriès Brut Millesimé Champagne,France,43,4.6
Cuvée Kermesse Rosso,Italie,1153,4.2
Chevalier-Montrachet Grand Cru Blanc,France,1283,4.4
Chambertin Grand Cru,France,354,4.4
Cabernet Sauvignon,États-Unis,2941,4.8
Le Montrachet Grand Cru,France,30,4.5
Brunello di Montalcino Riserva Pian di Conte,Italie,1118,4.3
Colore Toscana,Italie,1415,4.4
Pedrouzos Godello,Espagne,109,4.5
Cerretta Barolo Riserva (Vigna Bricco),Italie,2065,4.5
Magma,Italie,748,4.5
Kevin Arnold Shiraz,Afrique du Sud,6987,4.2
La Faraona Bierzo (Corullón),Espagne,423,4.6
Reserva Particular de Recaredo Gran Reserva Brut Nature,Espagne,923,4.4
Scharzhofberger Riesling Auslese,Allemagne,1666,4.6
Vigneto Bellavista Chianti Classico,Italie,1402,4.4
Barrosu Cannonau di Sardegna Riserva Franzisca,Italie,794,4.4
Son Negre,Espagne,521,4.5
Guglielmi di Jago Amarone della Valpolicella Classico,Italie,408,4.4
Merlot,États-Unis,1922,4.4
Grand Vin Pauillac (Premier Grand Cru Classé),France,38521,4.6
Es Riserva,Italie,371,4.5
Il Ritrovo,Italie,363,4.4
Il Pino di Biserno,Italie,17566,4.3
Howell Mountain Cabernet Sauvignon,États-Unis,6466,4.5
Brunello di Montalcino Riserva,Italie,437,4.4
Il San Lorenzo Bianco,Italie,673,4.5
Riserva Nova Domus Terlaner,Italie,5250,4.3
Pauillac (Premier Grand Cru Classé),France,73615,4.6
Chassagne-Montrachet,France,3269,4.3
Chevalier-Montrachet Grand Cru Les Demoiselles,France,532,4.4
Linticlarus Lagrein Riserva,Italie,1387,4.2
Sir Winston Churchill Brut Champagne,France,12873,4.6
Chambertin-Clos-de-Beze Grand Cru,France,611,4.5
El Carretil,Espagne,748,4.5
d'Alceo,Italie,3133,4.4
Cuvée Risleus Brut Champagne Premier Cru,France,415,4.4
Chardonnay,Australie,201,4.4
Nosotros Single Vineyard Nómade,Argentine,9995,4.6
Chapelle-Chambertin Grand Cru,France,188,4.5
Mazis-Chambertin Grand Cru,France,433,4.4
Tokaji Aszú 6 Puttonyos,Hongrie,439,4.4
Bonnes Mares Grand Cru,France,554,4.5
Vieilles Vignes Mazis-Chambertin Grand Cru,France,218,4.5
Kurni Marche,Italie,10261,4.6
Corton-Charlemagne Grand Cru,France,1045,4.4
Blanc,France,2053,4.3
Corton-Charlemagne Grand Cru,France,1007,4.4
Valdegatiles Ribera del Duero,Espagne,587,4.4
Platinum,Suisse,883,4.3
5 Puttonyos Aszú (Blue Label),Hongrie,11106,4.4
Arborina Barolo,Italie,2527,4.4
Chafandin,Espagne,2570,4.2
Kupra Marche,Italie,637,4.5
Esporão Private Selection Tinto,Portugal,12566,4.3
Reserve,États-Unis,1175,4.6
Gabbro Toscana,Italie,921,4.4
Boal Madeira,Portugal,1023,4.5
Charmes-Chambertin Grand Cru,France,276,4.4
Bienvenues-Bâtard-Montrachet Grand Cru,France,480,4.5
Bâtard-Montrachet Grand Cru,France,1182,4.5
Il 'Divasco' Riserva,Italie,255,4.4
Meursault 1er Cru 'Genevrières' Blanc,France,311,4.5
Clos de la Roche Grand Cru,France,429,4.4
Corton-Bressandes Grand Cru,France,861,4.4
Brunello di Montalcino Riserva,Italie,330,4.4
Puligny-Montrachet Premier Cru Les Combettes,France,582,4.4
Pingus,Espagne,6013,4.6
Corton-Charlemagne Grand Cru,France,178,4.4
Evenstad Reserve Pinot Noir,États-Unis,11531,4.4
The Mackenzie,Afrique du Sud,1220,4.4
Musigny Grand Cru,France,171,4.4
Clos de Vougeot,France,608,4.4
Opus One,États-Unis,77053,4.6
40 Anos Tawny Port,Portugal,57,4.6
Tokaji Aszú 5 Puttonyos,Hongrie,5449,4.5
Les Sentiers Chambolle-Musigny 1er Cru,France,1253,4.4
Macán Clásico,Espagne,16525,4.3
Amarone della Valpolicella Riserva,Italie,958,4.4
Amarone della Valpolicella Vigna Garzon,Italie,4227,4.4
Mendoza,Argentine,19849,4.4
Domaine Grand Veneur Châteauneuf-Du-Pape Vieilles Vignes,France,875,4.3
Corton-Charlemagne Grand Cru,France,708,4.4
Ribolla Gialla,Italie,7018,4.3
Charmes-Chambertin Grand Cru,France,170,4.4
Vin de Constance (Natural Sweet),Afrique du Sud,13210,4.6
50 & 50,Italie,9157,4.4
Pinotage,Afrique du Sud,2063,4.4
Les Clos Chablís Grand Cru,France,1750,4.5
Cream Tradición Vos 20 Years,Espagne,623,4.4
La Poza de Ballesteros,Espagne,987,4.4
Amarone Della Valpolicella Marta Galli,Italie,1085,4.2
Campo Alla Sughera,Italie,888,4.4
Montefico Barbaresco Vecchie Viti,Italie,581,4.4
Macán,Espagne,14368,4.4
Brunello di Montalcino Riserva Pianrosso Santa Caterina d'Oro,Italie,1971,4.5
Morey-Saint-Denis Tres Girard,France,339,4.4
Vürsù Barbaresco Gallina,Italie,4262,4.4
Champagne,France,1021,4.5
Barón de Chirel Rioja Reserva,Espagne,8578,4.4
Recioto della Valpolicella Classico Riserva,Italie,27,4.5
Vieilles Vignes Meursault,France,1426,4.2
Red,Chili,1297,4.1
Novicium Estate,États-Unis,495,4.4
Barolo Bussia Cicala,Italie,3346,4.4
30 Year Old Tawny Port,Portugal,602,4.4
Valdegines,Espagne,2594,4.2
One Sixteen Chardonnay,États-Unis,1753,4.4
Asili Barbaresco Vecchie Viti,Italie,668,4.4
Gaudium,Espagne,7414,4.3
Hommage à Jacques Perrin Châteauneuf-du-Pape,France,6121,4.5
Rujno Rosso,Italie,532,4.5
Volnay 1er Cru Les Caillerets,France,591,4.3
Le Lucére Brunello di Montalcino Riserva,Italie,213,4.4
Brut Rosé Champagne,France,13747,4.6
Mazis-Chambertin Grand Cru Cuvée Madeleine Collignon,France,1016,4.4
Rubicon,États-Unis,6421,4.6
Mark Bradford Vineyard Pinot Noir,États-Unis,254,4.5
Barolo Brunate,Italie,1482,4.3
V.P Extra Brut Champagne Grand Cru 'Ambonnay',France,2079,4.4
Vigna Colonnello Barolo Riserva Bussia,Italie,957,4.4
Chablis Grand Cru 'Les Clos',France,173,4.4
Barolo Riserva Leon,Italie,948,4.4
Historical XIXth Century Wine,France,807,4.4
Duemani Cabernet Franc,Italie,2339,4.4
Kapnios Aglianico,Italie,1134,4.5
Brut Champagne (Gold),France,3874,4.4
Memorias,Chili,15980,4.3
Barolo Riserva Speciale Granbussia,Italie,56,4.5
Aszú 6 Puttonyos Tokaj,Hongrie,54,4.6
Aile d'Argent Blanc Bordeaux,France,4790,4.2
Mazis-Chambertin Grand Cru,France,1121,4.4
Lupi e Sirene Riserva,Italie,1292,4.5
Amarone Classico Monte Danieli,Italie,504,4.4
Fusion V,Afrique du Sud,12877,4.4
Grands-Échezeaux Grand Cru,France,544,4.4
Don PX Selección,Espagne,326,4.5
Amarone della Valpolicella Classico Mater,Italie,739,4.5
Musigny Grand Cru,France,128,4.6
Don PX Convento Selección,Espagne,1224,4.7
Saint-Émilion Grand Cru,France,589,4.4
Gaia & Rey Langhe,Italie,5909,4.5
Le Montrachet Grand Cru,France,236,4.5
Aszú Eszencia,Hongrie,283,4.5
Ginés Liébana Pedro Ximénez,Espagne,120,4.6
Pieve Santa Restituta Rennina Brunello di Montalcino,Italie,3393,4.5
Toscana,Italie,16284,4.7
Fanòi Primitivo,Italie,695,4.4
Grande Cuvée I Terlaner,Italie,411,4.5
MV Rosé,France,588,4.5
Predappio Massera,Italie,161,4.4
Palo Cortado Añada,Espagne,27,4.6
VT Vendemmia Tardiva,Italie,1096,4.4
Ermitage l'Ermite Blanc,France,296,4.5
Mossone,Italie,892,4.4
Palo Cortado Tradición Vors 30 Years Sherry,Espagne,1050,4.4
Gorgona,Italie,592,4.4
Cuvée Ernest Riesling Alsace Sélection de Grains Nobles,France,68,4.5
Chateauneuf-Du-Pape Cuvée Des Générations Marie Leoncie,France,1041,4.4
CASK 23 Cabernet Sauvignon,États-Unis,9464,4.6
Amarone della Valpolicella,Italie,1292,4.4
Negru de Purcari Limited Edition,Moldavie,970,4.5
Cuve 38 Blanc de Blancs Champagne (La Réserve Perpétuelle),France,149,4.6
Ferro,Italie,499,4.5
Les Boudots Nuits-Saint-Georges 1er Cru,France,339,4.4
Vignes Centenaires 'La Richemone',France,182,4.4
Pietro Dal Cero Amarone della Valpolicella,Italie,6424,4.5
Le Petit Mouton de Mouton Rothschild Pauillac,France,8214,4.4
Vin de Paille,France,35,4.5
Brunello di Montalcino,Italie,1365,4.5
Pour Vous Sancerre,France,125,4.5
Red,Chili,4933,4.6
Cabernet Sauvignon,États-Unis,152,4.6
Ulysses,États-Unis,1980,4.3
Octavius Amarone della Valpolicella Riserva,Italie,450,4.6
Amour de Deutz Millesimé Rosé Brut Champagne,France,536,4.5
Mazzano Amarone Della Valpolicella Classico,Italie,3276,4.5
Au Paradis Cabernet Sauvignon,États-Unis,3004,4.6
Castellberg Pinot Noir,Allemagne,187,4.4
Ciliegio Amarone della Valpolicella,Italie,76,4.5
P2 Plénitude Brut Champagne,France,7543,4.7
Cěrǎsum Riserva Amarone della Valpolicella,Italie,460,4.4
Barolo Cerretta,Italie,684,4.6
Pomerol,France,4641,4.3
Vosne-Romanée 1er Cru Aux Malconsorts Christiane,France,309,4.5
Aegusa,Italie,81,4.6
888 Pinotage Gold,Afrique du Sud,234,4.6
Scharzhofberger Riesling Eiswein,Allemagne,30,4.7
Παλιές Ρίζες (Palies Rizes),Grèce,313,4.4
Roccolo Ludwig Barth von Barthenau,Italie,155,4.4
Barolo Cannubi,Italie,1801,4.2
Graal Amarone della Valpolicella Valpantena,Italie,328,4.4
Mas Via Gran Reserva Brut,Espagne,408,4.5
The Black Lion,Afrique du Sud,476,4.7
Semel Pater,Italie,710,4.4
Cuvée des Enchanteleurs Brut Champagne,France,1732,4.5
6 Anime Puglia Rosso,Italie,2476,4.3
Tourmaline Pomerol,France,237,4.5
Saperavi,Moldavie,4745,4.4
Fort Ross Seaview Home Field Pinot Noir,États-Unis,483,4.4
La Vina de Corteo,Espagne,374,4.7
Dogs of the Barossa Shiraz,Australie,264,4.4
Brunello di Montalcino Riserva,Italie,461,4.4
Royal St Robert Cuvée Pinot Noir,États-Unis,2099,4.3
Vigna Grande Cerzito Taurasi Riserva,Italie,581,4.5
Rutherford Cabernet Sauvignon,États-Unis,655,4.3
Les Blanchiens Brut Nature Champagne Premier Cru,France,590,4.4
Habemus Lazio Rosso (Etichetta Rossa),Italie,298,4.5
Nebukadnesar,Afrique du Sud,3609,4.4
Pandorga,Espagne,148,4.4
Vin de Pays de l'Hérault Blanc,France,1209,4.6
Pajè Barbaresco,Italie,1910,4.3
Chemin du Bois Champagne,France,184,4.4
Brunello di Montalcino Riserva,Italie,351,4.4
Helichrysum Brunello di Montalcino,Italie,1370,4.4
Gran VU Blend,Argentine,2773,4.5
Cosimo Varvaglione Collezione Privata Primitivo di Manduria,Italie,5016,4.5
A50 Amarone della Valpolicella,Italie,100,4.6
Toscana Bianco,Italie,833,4.5
Bruno Lunelli Riserva,Italie,96,4.5
Croce Del Gal Riserva Amarone della Valpolicella Classico,Italie,188,4.6
Altura Máxima Malbec,Argentine,2168,4.4
Pessac-Léognan Blanc (Grand Cru Classé de Graves),France,1182,4.3
Altagracia Cabernet Sauvignon,États-Unis,3083,4.4
Annonciade Champagne,France,137,4.3
Fieramonte Amarone della Valpolicella Riserva,Italie,315,4.7
Alpine Hillside Pinot Noir,États-Unis,46,4.5
Barolo Riserva,Italie,265,4.4
Fino La Barajuela,Espagne,222,4.4
Grand Vin,Espagne,343,4.4
Cosimo Varvaglione Collezione Privata Negroamaro del Salento,Italie,826,4.3
Barolo Riserva Cannubi 1752,Italie,451,4.5
Museum Collection White,Grèce,297,4.4
Colheita Porto,Portugal,741,4.4
Brunello di Montalcino,Italie,2592,4.3
Puligny-Montrachet Premier Cru ' Clos de la Truffière',France,475,4.4
Lion Tamer Napa Valley Red Blend,États-Unis,4981,4.3
Cannubi Barolo,Italie,228,4.5
Per Sempre Syrah Toscana,Italie,711,4.5
Belles Soeurs Cuvée Pinot Noir,États-Unis,229,4.4
Les Ouvrées Rodin Chambertin-Clos de Bèze Grand Cru,France,33,4.5
Adrianna Vineyard Fortuna Terrae Malbec,Argentine,2589,4.5
Adrianna Vineyard Mundus Bacillus Terrae Malbec,Argentine,1358,4.6
Barbaresco Asili,Italie,710,4.4
Grands-Echezeaux Grand Cru,France,432,4.4
Trebbiano d'Abruzzo,Italie,140,4.4
The Journeyman,Afrique du Sud,231,4.6
Le Petit Cheval Bordeaux Blanc,France,782,4.4
Bassolino di Sopra Brunello di Montalcino,Italie,174,4.6
Regina del Bosco R.Quarantottomesi,Italie,109,4.5
40 Years Old Port,Portugal,37,4.5
Cinque Autoctoni Collection Limited Release,Italie,4281,4.4
Valmezzane Amarone della Valpolicella,Italie,799,4.4
Quarto Vecchio Amarone della Valpolicella Classico Riserva,Italie,292,4.5
Pym-Rae Red Blend,États-Unis,273,4.5
Amarone della Valpolicella,Italie,749,4.5
Zeltinger Sonnenuhr Beerenauselese Riesling,Allemagne,49,4.5
Bure Alto Amarone  della Valpolicella Classico Riserva,Italie,132,4.6
Clos Saint-Denis Grand Cru,France,40,4.6
Il Bacca Old Vine Primitivo di Manduria,Italie,2933,4.4
Kalós Cru Gran Reserva Malbec,Argentine,3351,4.5
La Piu Belle,Chili,13420,4.6
Charmes-Chambertin Grand Cru,France,33,4.5
Quiñon de Valmira,Espagne,377,4.6
Chambertin Grand Cru,France,188,4.5
Marmar,Allemagne,514,4.5
TD9,États-Unis,6056,4.3
Mironia Black Edition Tempranillo,Espagne,187,4.5
40 Years Old Tawny Port,Portugal,357,4.4
Rioja Reserva 10 Años Después Edición Limitada,Espagne,1093,4.4
Mágico,Espagne,146,4.8
Peña Lobera,Espagne,234,4.4
Reserve Chardonnay,Afrique du Sud,396,4.5
Carmin,France,931,4.4
Colheita Porto Branco,Portugal,65,4.6
Falletto Barbaresco Rabaja,Italie,448,4.4
Arché,Portugal,429,4.4
Touran,Espagne,274,4.6
Collection Vintage 2000 Brut,France,58,4.6
Secentenario,Italie,96,4.6
Puligny-Montrachet 1er Cru 'Les Champs Gains',France,429,4.4
Dona Ermelinda Grande Reserva,Portugal,933,4.4
Cuvée des Hussards Vieilles Vignes Brut Champagne Premier Cru,France,47,4.5
Eight Years In The Desert,États-Unis,27195,4.4
Librante Primitivo di Manduria,Italie,491,4.4
Winemaker's Selection,Croatie,292,4.3
LR,Italie,503,4.5
Zeltinger Sonnenuhr Beerenauslese,Allemagne,44,4.7
Limited Edition 10 Vendemmie,Italie,9453,4.5
Champ Cain Extra Brut Champagne Grand Cru 'Avize',France,234,4.4
Charlemagne Grand Cru,France,201,4.5
Graacher Himmelreich Riesling Auslese 'Goldkapsel',Allemagne,119,4.6
Les Ruchons Sancerre Blanc,France,269,4.4
VV 26 Blanc de Blancs Vieilles Vignes Grand Cru Brut,France,314,4.5
El Escolladero,Espagne,161,4.4
110 e Lode Merlot,Italie,174,4.4
Guerriero della Terra,Italie,10185,4.4
80 Vecchie Vigne Primitivo di Manduria Old Vines,Italie,2476,4.4
Rioja Blanco Reserva,Espagne,361,4.4
Fratini Bolgheri Superiore,Italie,153,4.8
Bual Madeira,Portugal,187,4.4
Cuvée N Viñas Viejas,Espagne,263,4.5
Lux Vitis,Italie,530,4.5
Collina Rionda di Serralunga Barolo,Italie,156,4.5
Vigne Vecchie Gold Series Leggenda Primitivo di Manduria,Italie,3121,4.3
De Buris Amarone della Valpolicella Classico Riserva,Italie,574,4.7
'Giulio Ferrari' Riserva del Fondatore Rosé,Italie,308,4.5
Ampio,Italie,481,4.6
Permassimo,Italie,186,4.7
Denarius Graves,France,129,4.5
Raut Lagrein,Italie,58,4.5
Corton-Charlemagne Grand Cru,France,35,4.6
Hyde Vineyard Chardonnay,États-Unis,265,4.4
Bienvenues-Bâtard-Montrachet Grand Cru,France,76,4.6
Delicado Cosecha Pedro Ximénez,Espagne,870,4.4
Estate Reserve Viognier,Afrique du Sud,257,4.4
Carpathia Heritage,Roumanie,166,4.4
Gorgona Rosso,Italie,119,4.5
50 Old Vines Vecchie Vigne Negroamaro,Italie,510,4.4
Maggiarino Vino Nobile di Montepulciano,Italie,555,4.3
Interpretación,Espagne,2760,4.4
Vinha Centenaria Branco,Portugal,281,4.4
Grande Cuvée,France,28513,4.6
Hérédita Châteauneuf-du-Pape,France,185,4.5
Perpiero,Italie,351,4.6
Guerriero del Mare,Italie,3290,4.4
Rocche dell'Annunziata Barolo,Italie,218,4.5
Cristal Vinothèque,France,426,4.7
Cristal Rosé Vinothèque,France,88,4.8
Minami,Espagne,246,4.4
Clos de Tart Grand Cru,France,214,4.6
Vinhas Velhas Tinto,Portugal,736,4.5
Cabochon Doppio Zero,Italie,217,4.5
Annunziata Barolo Riserva,Italie,138,4.4
NŌ Rosso,Italie,297,4.5
Freienfeld Cabernet Sauvignon Riserva,Italie,173,4.4
Vigna del Suolo Brunello di Montalcino,Italie,201,4.5
Vite Talin Barolo,Italie,131,4.5
RWT Bin 798 Shiraz,Australie,1975,4.4
Barolo Arione,Italie,259,4.6
Grenache,États-Unis,34,4.5
Rosso,Italie,88,4.5
Charity Edition Nebbiolo d'Alba Arione,Italie,29,4.5
Nuits-Saint-Georges 1er Cru 'Aux Murgers',France,40,4.5
Gallina Barbaresco,Italie,219,4.4
Terrasse à l'Ombre Côtes du Rhône,France,819,4.5
Lithology Cabernet Sauvignon,États-Unis,148,4.6
Glesie Climat,Italie,37,4.6
Petrucci Melo,Italie,61,4.5
Oh Carlos Manuel! Tinto,Portugal,58,4.5
Boghis Climat,Italie,27,4.5
Giunonico Riserva Primitivo di Manduria,Italie,460,4.4
Fossati Barolo,Italie,116,4.5
Ipsus Chianti Classico Gran Selezione,Italie,185,4.4
Old Vines Malbec,Argentine,667,4.2
Cannubi Barolo,Italie,82,4.4
Bentrock Vineyard Chardonnay,États-Unis,118,4.5
Barbaresco Albesani,Italie,183,4.5
Los Jabalíes Single Vineyard Malbec,Argentine,284,4.4
Red Blend,États-Unis,457,4.5
Étoile Rosé,France,183,4.5
Dieci Brunello di Montalcino,Italie,43,4.6
Fleur de Miraval Exclusivement Rosé Champagne,France,304,4.4
EABA,États-Unis,151,4.6
Petracs Furmint,Hongrie,200,4.4
Todeschini Distique Saint-Émilion Grand Cru,France,185,4.4
Trittenheimer Apotheke,Allemagne,27,4.5
Ligne de Crete Les Grandes Vignes Hermitage,France,76,4.7
Os Paulistas Chão dos Eremitas Vinhas Velhas,Portugal,334,4.4
Tinto,Espagne,803,4.4
Duna Mirante Primitivo di Manduria,Italie,96,4.5
Crescendo,Afrique du Sud,1347,4.3
Triglia Negroamaro Rosato,Italie,278,4.4
Batard-Montrachet Grand Cru,France,34,4.8
Luminaria Primitivo di Manduria,Italie,563,4.4
Vieilles Vignes La Parcelle 8 Apalta,Chili,184,4.4
Single Barrel Champagne Grand Cru 'Le Mesnil-sur-Oger',France,34,4.6
Tinto,Espagne,203,4.4
Grande Cuvée Luigi Moio,Italie,80,4.6
Vinha dos Utras,Portugal,65,4.5
Tinto,Espagne,585,4.5
802.A Superblend,Australie,66,4.5
Clos Le Léon Dizy Champagne,France,53,4.5
Rocche di Castiglione Barolo,Italie,131,4.5
Elevage Branco,Portugal,53,4.5
Moss Blanc Verdicchio dei Castelli di Jesi Classico Superiore,Italie,94,4.6
Academia Purcari Rară Neagră,Moldavie,73,4.5
Paralupi Appassimento,Italie,575,4.4
Collection Fût de Chêne Brut Champagne Grand Cru 'Ay',France,58,4.5
