name,wines_count
Shiraz/Syrah,551112
Cabernet Sauvignon,801751
Chardonnay,604208
Malbec,219735
Merlot,566719
Pinot Noir,572334
Riesling,262136
Sangiovese,125094
Tempranillo,172842
Carménère,50087
Touriga Nacional,85787
Touriga Franca,33763
Tinta Roriz,41047
Garnacha,58111
Agiorgitiko,3476
Chasselas,13154
Spätburgunder,50164
Feteasca Neagra,6117
Weissburgunder,33464
Furmint,11130
Plavac Mali,4122
